catalog_row_id	paper_id	experiment_id	condition_id	replicate_id	batch_id	sample_timepoint_id	archive_sample_id	perturbation_id	accession_record_id	file_id	paper_title	doi	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	species_scientific	cell_line_or_tissue	sample_name_original	assay_type	detection_target	synchronization_method	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	direct_target	expected_effect	observed_validation	gsm_accession	biosample_accession	sra_sample_accession	experiment_accession	run_accession	download_url	file_size_bytes	md5	online_verification_status	evidence_ids	notes
CAT-P0011-000105-F1	P0011	EX-P0011-001	C-P0011-105	R-P0011-105	B-P0011-105	ST-P0011-105	AS-P0011-105	NA	AC-P0011-105-001	RF-P0011-SRR12623464-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	107_Wapl-C6_0h_TTseq_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775366	SAMN16099984	SRS7349612	SRX9106195	SRR12623464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/064/SRR12623464/SRR12623464_1.fastq.gz	869039137	2366e734a6e97bb245aa25260bcd0887	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000105-F2	P0011	EX-P0011-001	C-P0011-105	R-P0011-105	B-P0011-105	ST-P0011-105	AS-P0011-105	NA	AC-P0011-105-001	RF-P0011-SRR12623464-2	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	107_Wapl-C6_0h_TTseq_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775366	SAMN16099984	SRS7349612	SRX9106195	SRR12623464	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/064/SRR12623464/SRR12623464_2.fastq.gz	701377219	5e63772113ed6e5f6178582a9d96ba74	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000106-F1	P0011	EX-P0011-001	C-P0011-106	R-P0011-106	B-P0011-106	ST-P0011-106	AS-P0011-106	NA	AC-P0011-106-001	RF-P0011-SRR12623465-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	108_Wapl-C6_0h_TTseq_rep2	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775367	SAMN16099983	SRS7349611	SRX9106196	SRR12623465	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/065/SRR12623465/SRR12623465_1.fastq.gz	887251047	7cc65198833ae5a6ed5979b42f2ea9da	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000106-F2	P0011	EX-P0011-001	C-P0011-106	R-P0011-106	B-P0011-106	ST-P0011-106	AS-P0011-106	NA	AC-P0011-106-001	RF-P0011-SRR12623465-2	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	108_Wapl-C6_0h_TTseq_rep2	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775367	SAMN16099983	SRS7349611	SRX9106196	SRR12623465	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/065/SRR12623465/SRR12623465_2.fastq.gz	710074007	99ddc8afd13da024c44537c2c9f02c70	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000107-F1	P0011	EX-P0011-001	C-P0011-107	R-P0011-107	B-P0011-107	ST-P0011-107	AS-P0011-107	NA	AC-P0011-107-001	RF-P0011-SRR12623466-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	109_Wapl-C6_6h_TTseq_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775368	SAMN16099982	SRS7349614	SRX9106197	SRR12623466	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/066/SRR12623466/SRR12623466_1.fastq.gz	766219131	cbcf7930c8ba32e92663c2e667d093c7	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000107-F2	P0011	EX-P0011-001	C-P0011-107	R-P0011-107	B-P0011-107	ST-P0011-107	AS-P0011-107	NA	AC-P0011-107-001	RF-P0011-SRR12623466-2	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	109_Wapl-C6_6h_TTseq_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775368	SAMN16099982	SRS7349614	SRX9106197	SRR12623466	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/066/SRR12623466/SRR12623466_2.fastq.gz	626580099	2bad288f70e1e3d2d46f23bc8a9f184f	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000108-F1	P0011	EX-P0011-001	C-P0011-108	R-P0011-108	B-P0011-108	ST-P0011-108	AS-P0011-108	NA	AC-P0011-108-001	RF-P0011-SRR12623467-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	110_Wapl-C6_6h_TTseq_rep2	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775369	SAMN16099981	SRS7349615	SRX9106198	SRR12623467	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12623467/SRR12623467_1.fastq.gz	1015515686	a35e596b8aa874435526b09cb12ba7bf	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000108-F2	P0011	EX-P0011-001	C-P0011-108	R-P0011-108	B-P0011-108	ST-P0011-108	AS-P0011-108	NA	AC-P0011-108-001	RF-P0011-SRR12623467-2	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	110_Wapl-C6_6h_TTseq_rep2	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775369	SAMN16099981	SRS7349615	SRX9106198	SRR12623467	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12623467/SRR12623467_2.fastq.gz	832384867	515ab77f42cee20b15dcfca24310f900	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000109-F1	P0011	EX-P0011-001	C-P0011-109	R-P0011-109	B-P0011-109	ST-P0011-109	AS-P0011-109	NA	AC-P0011-109-001	RF-P0011-SRR12623468-1	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	111_Wapl-C6_24h_TTseq_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775370	SAMN16099980	SRS7349617	SRX9106199	SRR12623468	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/068/SRR12623468/SRR12623468_1.fastq.gz	1095880379	c3abc193cc61c014e5af9a80bc2596c6	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0011-000109-F2	P0011	EX-P0011-001	C-P0011-109	R-P0011-109	B-P0011-109	ST-P0011-109	AS-P0011-109	NA	AC-P0011-109-001	RF-P0011-SRR12623468-2	WAPL maintains a cohesin loading cycle to preserve cell-type-specific distal gene regulation	10.1038/s41588-020-00744-4	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Mus musculus	E14TG2a	111_Wapl-C6_24h_TTseq_rep1	ATAC-seq|ChIP-Seq|OTHER|RNA-Seq	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM4775370	SAMN16099980	SRS7349617	SRX9106199	SRR12623468	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/068/SRR12623468/SRR12623468_2.fastq.gz	882288899	1028034503400a45568cc8facf6f62f4	verified_metadata_record	E-P0011-002|E-P0011-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
