sample_timepoint_id	experiment_id	species_scientific	species_common	taxonomy_id	cell_line_or_tissue	sample_name_original	sample_name_standardized	genotype_or_construct	synchronization_method	synchronization_reagent	synchronization_dose	synchronization_duration	arrest_point	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	phase_evidence_rule	pooled_status	evidence_ids	notes	condition_id	replicate_id	batch_id	gsm_accession	archive_sample_id
ST-P0008-001	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 0 min	WT_G2_t0	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1	NR	10 h	G2	washout/removal of 1NM-PP1	0	min	G2	marker_supported	作者用FACS和显微形态确认G2阻断	no	E-P0008-002	时间零点为释放时刻，不是药物加入时刻	C-LEGACY-001	R-LEGACY-001	B-LEGACY-001	NA	NA
ST-P0008-002	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 2.5 min	WT_release_2.5m	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1	NR	10 h	G2	washout/removal of 1NM-PP1	2.5	min	unknown	unknown	论文报告构象变化，但目标段未给出独立阶段标签	no	E-P0008-002|E-P0008-003	禁止仅凭分钟数推断阶段	C-LEGACY-002	R-LEGACY-002	B-LEGACY-002	NA	NA
ST-P0008-003	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 5 min	WT_prophase_5m	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1	NR	10 h	G2	washout/removal of 1NM-PP1	5	min	prophase	author_stated	正文称释放后细胞进入prophase，并描述5 min时变化	no	E-P0008-002|E-P0008-003	NA	C-LEGACY-003	R-LEGACY-003	B-LEGACY-003	NA	NA
ST-P0008-004	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 7.5 min	WT_late_prophase_7.5m	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1	NR	10 h	G2	washout/removal of 1NM-PP1	7.5	min	late prophase / NEBD window	author_stated	正文将7.5–10 min描述为late prophase并接近NEBD	no	E-P0008-002|E-P0008-003	阶段保留作者给出的时间窗	C-LEGACY-004	R-LEGACY-004	B-LEGACY-004	NA	NA
ST-P0008-005	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 10 min	WT_late_prophase_10m	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1	NR	10 h	G2	washout/removal of 1NM-PP1	10	min	late prophase	author_stated	正文明确说明10 min为late prophase构象	no	E-P0008-002|E-P0008-003	NA	C-LEGACY-005	R-LEGACY-005	B-LEGACY-005	NA	NA
ST-P0008-006	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 15 min	WT_prometaphase_15m	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1	NR	10 h	G2	washout/removal of 1NM-PP1	15	min	prometaphase	author_stated	正文明确写明15 min进入prometaphase	no	E-P0008-002|E-P0008-003	该时点未加nocodazole	C-LEGACY-006	R-LEGACY-006	B-LEGACY-006	NA	NA
ST-P0008-007	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 30 min	WT_prometaphase_30m	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1 | nocodazole	NR	10 h 1NM-PP1；nocodazole于释放前30 min加入	G2；随后阻断metaphase-anaphase transition	washout/removal of 1NM-PP1	30	min	prometaphase	author_stated	正文将30 min归入prometaphase	no	E-P0008-002|E-P0008-003	论文另有无nocodazole的30 min重复；本轮未拆分	C-LEGACY-007	R-LEGACY-007	B-LEGACY-007	NA	NA
ST-P0008-008	EX-P0008-001	Gallus gallus	chicken	NOT_FOUND	DT40	t = 60 min	WT_late_prometaphase_60m	CDK1as；endogenous CDK1 disrupted	chemical-genetic CDK1as inhibition	1NM-PP1 | nocodazole	NR	10 h 1NM-PP1；nocodazole于释放前30 min加入	G2；随后阻断metaphase-anaphase transition	washout/removal of 1NM-PP1	60	min	late prometaphase	author_stated	正文称60 min为late prometaphase并形成充分凝缩染色体	no	E-P0008-002|E-P0008-003	不把形态学metaphase描述改写为独立采样阶段	C-LEGACY-008	R-LEGACY-008	B-LEGACY-008	NA	NA
ST-P0008-009	EX-P0008-002	Gallus gallus	chicken	NOT_FOUND	DT40	SMC2− G2	SMC2_depleted_G2	CDK1as；SMC2-mAID；OsTIR1	chemical-genetic CDK1as inhibition	1NM-PP1 | auxin	NR	10 h 1NM-PP1；auxin 3 h	G2	washout/removal of 1NM-PP1 after auxin treatment	0	min	G2	marker_supported	正文说明auxin在G2阻断期间处理，图4标为SMC2− G2	no	E-P0008-004	数据库样本alias尚未映射	C-LEGACY-009	R-LEGACY-009	B-LEGACY-009	NA	NA
ST-P0008-010	EX-P0008-002	Gallus gallus	chicken	NOT_FOUND	DT40	SMC2− t = 10 min	SMC2_depleted_release_10m	CDK1as；SMC2-mAID；OsTIR1	chemical-genetic CDK1as inhibition	1NM-PP1 | auxin	NR	10 h 1NM-PP1；auxin 3 h	G2	washout/removal of 1NM-PP1 after auxin treatment	10	min	late prophase	author_stated	正文称SMC2耗竭细胞释放后7–10 min发生NEBD并进入prophase	no	E-P0008-004	本轮代表性记录，非完整扰动时间序列	C-LEGACY-010	R-LEGACY-010	B-LEGACY-010	NA	NA
ST-P0008-GEO-001	EX-P0008-001	Gallus gallus	chicken	9031	DT40	NS-R1	GSM2745839	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	NS	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	GSM2745839	AS-P0008-001
ST-P0008-GEO-002	EX-P0008-001	Gallus gallus	chicken	9031	DT40	90G2-R1	GSM2745840	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-002	R-P0008-GEO-002	B-P0008-GEO-002	GSM2745840	AS-P0008-002
ST-P0008-GEO-003	EX-P0008-001	Gallus gallus	chicken	9031	DT40	90G2-R2	GSM2745841	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-003	R-P0008-GEO-003	B-P0008-GEO-003	GSM2745841	AS-P0008-003
ST-P0008-GEO-004	EX-P0008-001	Gallus gallus	chicken	9031	DT40	92Pphase-10m-R1	GSM2745842	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	10	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-004	R-P0008-GEO-004	B-P0008-GEO-004	GSM2745842	AS-P0008-004
ST-P0008-GEO-005	EX-P0008-001	Gallus gallus	chicken	9031	DT40	87PMphase-30m-R1	GSM2745843	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	30	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-005	R-P0008-GEO-005	B-P0008-GEO-005	GSM2745843	AS-P0008-005
ST-P0008-GEO-006	EX-P0008-001	Gallus gallus	chicken	9031	DT40	90PMphase-30m-R2	GSM2745844	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	30	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-006	R-P0008-GEO-006	B-P0008-GEO-006	GSM2745844	AS-P0008-006
ST-P0008-GEO-007	EX-P0008-001	Gallus gallus	chicken	9031	DT40	92PMphase-60m-R1	GSM2745845	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	60	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-007	R-P0008-GEO-007	B-P0008-GEO-007	GSM2745845	AS-P0008-007
ST-P0008-GEO-008	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150609-G2-R1	GSM2745846	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-008	R-P0008-GEO-008	B-P0008-GEO-008	GSM2745846	AS-P0008-008
ST-P0008-GEO-009	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150609-5m-R1_	GSM2745847	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	5	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-009	R-P0008-GEO-009	B-P0008-GEO-009	GSM2745847	AS-P0008-009
ST-P0008-GEO-010	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150609-15m-R1	GSM2745848	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	15	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-010	R-P0008-GEO-010	B-P0008-GEO-010	GSM2745848	AS-P0008-010
ST-P0008-GEO-011	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150609-30m-R1	GSM2745849	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	30	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-011	R-P0008-GEO-011	B-P0008-GEO-011	GSM2745849	AS-P0008-011
ST-P0008-GEO-012	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150609-60m-R1	GSM2745850	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	60	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-012	R-P0008-GEO-012	B-P0008-GEO-012	GSM2745850	AS-P0008-012
ST-P0008-GEO-013	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20151009-0m-R1	GSM2745851	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	0	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-013	R-P0008-GEO-013	B-P0008-GEO-013	GSM2745851	AS-P0008-013
ST-P0008-GEO-014	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20151009-2m-R1	GSM2745852	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	2	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-014	R-P0008-GEO-014	B-P0008-GEO-014	GSM2745852	AS-P0008-014
ST-P0008-GEO-015	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20151009-5m-R1	GSM2745853	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	5	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-015	R-P0008-GEO-015	B-P0008-GEO-015	GSM2745853	AS-P0008-015
ST-P0008-GEO-016	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20151009-7m-R1	GSM2745854	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	7	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-016	R-P0008-GEO-016	B-P0008-GEO-016	GSM2745854	AS-P0008-016
ST-P0008-GEO-017	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20151009-10m-R1	GSM2745855	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	10	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-017	R-P0008-GEO-017	B-P0008-GEO-017	GSM2745855	AS-P0008-017
ST-P0008-GEO-018	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150603-G2-R1	GSM2745856	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-018	R-P0008-GEO-018	B-P0008-GEO-018	GSM2745856	AS-P0008-018
ST-P0008-GEO-019	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150603-s15m-R1	GSM2745857	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	15	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-019	R-P0008-GEO-019	B-P0008-GEO-019	GSM2745857	AS-P0008-019
ST-P0008-GEO-020	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150603-s30m-R1	GSM2745858	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	30	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-020	R-P0008-GEO-020	B-P0008-GEO-020	GSM2745858	AS-P0008-020
ST-P0008-GEO-021	EX-P0008-001	Gallus gallus	chicken	9031	DT40	20150603-s60m-R1	GSM2745859	WT	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	60	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-021	R-P0008-GEO-021	B-P0008-GEO-021	GSM2745859	AS-P0008-021
ST-P0008-GEO-022	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150610-sG2-R1	GSM2745860	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-022	R-P0008-GEO-022	B-P0008-GEO-022	GSM2745860	AS-P0008-022
ST-P0008-GEO-023	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150610-s10m-R1	GSM2745861	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	10	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-023	R-P0008-GEO-023	B-P0008-GEO-023	GSM2745861	AS-P0008-023
ST-P0008-GEO-024	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150610-s45m-R1	GSM2745862	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	45	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-024	R-P0008-GEO-024	B-P0008-GEO-024	GSM2745862	AS-P0008-024
ST-P0008-GEO-025	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150610-s75m-R1	GSM2745863	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	75	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-025	R-P0008-GEO-025	B-P0008-GEO-025	GSM2745863	AS-P0008-025
ST-P0008-GEO-026	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150812-G2-R1	GSM2745864	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-026	R-P0008-GEO-026	B-P0008-GEO-026	GSM2745864	AS-P0008-026
ST-P0008-GEO-027	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150814-G2-R2	GSM2745865	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-027	R-P0008-GEO-027	B-P0008-GEO-027	GSM2745865	AS-P0008-027
ST-P0008-GEO-028	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150814-10m-R2	GSM2745866	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	10	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-028	R-P0008-GEO-028	B-P0008-GEO-028	GSM2745866	AS-P0008-028
ST-P0008-GEO-029	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150814-45m-R2	GSM2745867	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	45	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-029	R-P0008-GEO-029	B-P0008-GEO-029	GSM2745867	AS-P0008-029
ST-P0008-GEO-030	EX-P0008-002	Gallus gallus	chicken	9031	DT40	20150814-75m-R2	GSM2745868	SMC2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	75	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-030	R-P0008-GEO-030	B-P0008-GEO-030	GSM2745868	AS-P0008-030
ST-P0008-GEO-031	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160726-G2p-R1	GSM2745869	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-031	R-P0008-GEO-031	B-P0008-GEO-031	GSM2745869	AS-P0008-031
ST-P0008-GEO-032	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160726-G2n-R1	GSM2745870	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-032	R-P0008-GEO-032	B-P0008-GEO-032	GSM2745870	AS-P0008-032
ST-P0008-GEO-033	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160726-8m-R1_	GSM2745871	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	8	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-033	R-P0008-GEO-033	B-P0008-GEO-033	GSM2745871	AS-P0008-033
ST-P0008-GEO-034	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160726-10m-R1	GSM2745872	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	10	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-034	R-P0008-GEO-034	B-P0008-GEO-034	GSM2745872	AS-P0008-034
ST-P0008-GEO-035	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160726-15m-R1	GSM2745873	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	15	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-035	R-P0008-GEO-035	B-P0008-GEO-035	GSM2745873	AS-P0008-035
ST-P0008-GEO-036	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160726-30m-R1	GSM2745874	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	30	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-036	R-P0008-GEO-036	B-P0008-GEO-036	GSM2745874	AS-P0008-036
ST-P0008-GEO-037	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160726-60m-R1	GSM2745875	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	60	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-037	R-P0008-GEO-037	B-P0008-GEO-037	GSM2745875	AS-P0008-037
ST-P0008-GEO-038	EX-P0008-004	Gallus gallus	chicken	9031	DT40	20160714-G2p-R1	GSM2745876	CAPH2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-038	R-P0008-GEO-038	B-P0008-GEO-038	GSM2745876	AS-P0008-038
ST-P0008-GEO-039	EX-P0008-004	Gallus gallus	chicken	9031	DT40	20160714-G2n-R1	GSM2745877	CAPH2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-039	R-P0008-GEO-039	B-P0008-GEO-039	GSM2745877	AS-P0008-039
ST-P0008-GEO-040	EX-P0008-004	Gallus gallus	chicken	9031	DT40	20160714-8m-R1	GSM2745878	CAPH2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	8	min	Prophase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-040	R-P0008-GEO-040	B-P0008-GEO-040	GSM2745878	AS-P0008-040
ST-P0008-GEO-041	EX-P0008-004	Gallus gallus	chicken	9031	DT40	20160714-10m-R1	GSM2745879	CAPH2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	10	min	NR	unknown	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-041	R-P0008-GEO-041	B-P0008-GEO-041	GSM2745879	AS-P0008-041
ST-P0008-GEO-042	EX-P0008-004	Gallus gallus	chicken	9031	DT40	20160714-15m-R1	GSM2745880	CAPH2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	15	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-042	R-P0008-GEO-042	B-P0008-GEO-042	GSM2745880	AS-P0008-042
ST-P0008-GEO-043	EX-P0008-004	Gallus gallus	chicken	9031	DT40	20160714-30m-R1	GSM2745881	CAPH2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	30	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-043	R-P0008-GEO-043	B-P0008-GEO-043	GSM2745881	AS-P0008-043
ST-P0008-GEO-044	EX-P0008-004	Gallus gallus	chicken	9031	DT40	20160714-60m-R1	GSM2745882	CAPH2-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	60	min	Prometaphase	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-044	R-P0008-GEO-044	B-P0008-GEO-044	GSM2745882	AS-P0008-044
ST-P0008-GEO-045	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160919-G2p-R2	GSM2745883	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-045	R-P0008-GEO-045	B-P0008-GEO-045	GSM2745883	AS-P0008-045
ST-P0008-GEO-046	EX-P0008-003	Gallus gallus	chicken	9031	DT40	20160919-G2n-R2	GSM2745884	CAPH-AID	chemical-genetic CDK1as inhibition	1NM-PP1	2 μM	10 h	G2	1NM-PP1 washout	NR	NA	G2	author_stated	GEO MINiML Characteristics[@tag='phase']原值	NR	E-P0008-008	分钟值仅从原始alias机械提取，不据此推断周期阶段	C-P0008-GEO-046	R-P0008-GEO-046	B-P0008-GEO-046	GSM2745884	AS-P0008-046
