catalog_row_id	paper_id	experiment_id	condition_id	replicate_id	batch_id	sample_timepoint_id	archive_sample_id	perturbation_id	accession_record_id	file_id	paper_title	doi	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	species_scientific	cell_line_or_tissue	sample_name_original	assay_type	detection_target	synchronization_method	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	direct_target	expected_effect	observed_validation	gsm_accession	biosample_accession	sra_sample_accession	experiment_accession	run_accession	download_url	file_size_bytes	md5	online_verification_status	evidence_ids	notes
CAT-P0008-000011	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0415	RF-P0008-SRR5938476-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938476	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938476/SRR5938476_1.fastq.gz	316184274	e5646136af41e25899f7435a76373e4a	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000012	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0415	RF-P0008-SRR5938476-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938476	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/006/SRR5938476/SRR5938476_2.fastq.gz	356202010	35262aa62a27c48a40fa3c783fddfdaf	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000013	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0416	RF-P0008-SRR5938477-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938477	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938477/SRR5938477_1.fastq.gz	321911506	a82511033c70f9b7e792a771613a5b2b	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000014	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0416	RF-P0008-SRR5938477-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938477	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/007/SRR5938477/SRR5938477_2.fastq.gz	360013385	9e662fb1aaba3004f4ed39413edb9cb0	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000015	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0417	RF-P0008-SRR5938478-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938478	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938478/SRR5938478_1.fastq.gz	316441871	c30e7699e6cb178f9d90f6088b5f442b	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000016	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0417	RF-P0008-SRR5938478-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938478	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/008/SRR5938478/SRR5938478_2.fastq.gz	354438236	9e82a96db442d1f52f1f93a2c01784f7	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000017	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0418	RF-P0008-SRR5938479-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938479	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5938479/SRR5938479_1.fastq.gz	295921626	e35ab95aae73a20d4c023d132e28c147	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000018	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0418	RF-P0008-SRR5938479-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938479	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/009/SRR5938479/SRR5938479_2.fastq.gz	341044642	20d7aae4d7d64f156e076ba9b712e427	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000019	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0419	RF-P0008-SRR5938480-1	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938480	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5938480/SRR5938480_1.fastq.gz	302149769	96fb1626cf3dbcc1449e32f208b78a03	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
CAT-P0008-000020	P0008	EX-P0008-001	C-P0008-GEO-001	R-P0008-GEO-001	B-P0008-GEO-001	ST-P0008-GEO-001	AS-P0008-001	NA	AC-P0008-0419	RF-P0008-SRR5938480-2	A pathway for mitotic chromosome formation	10.1126/science.aao6135	yes	study_generated	study_generated	UNRESOLVED	primary_analysis	Gallus gallus	DT40	NS-R1	Hi-C	NA	chemical-genetic CDK1as inhibition	1NM-PP1 washout	NR	NA	NS	author_stated	NA	NA	NA	NA	GSM2745839	SAMN07512622	SRS2434596	SRX3098292	SRR5938480	ftp.sra.ebi.ac.uk/vol1/fastq/SRR593/000/SRR5938480/SRR5938480_2.fastq.gz	346458679	58f479cdae7c0d4a464a2fc8ae9dd461	verified	E-P0008-008|E-P0008-009|E-P0008-010	由规范实体离线确定性生成；一行一个FASTQ文件
