catalog_row_id	paper_id	experiment_id	condition_id	replicate_id	batch_id	sample_timepoint_id	archive_sample_id	perturbation_id	accession_record_id	file_id	paper_title	doi	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	species_scientific	cell_line_or_tissue	sample_name_original	assay_type	detection_target	synchronization_method	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	direct_target	expected_effect	observed_validation	gsm_accession	biosample_accession	sra_sample_accession	experiment_accession	run_accession	download_url	file_size_bytes	md5	online_verification_status	evidence_ids	notes
CAT-P0001-000001	P0001	EX-P0001-001	C-P0001-001	R-P0001-001	B-P0001-001	ST-P0001-001	AS-P0001-001	NA	AC-P0001-001	RF-P0001-ERR351511-1	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-HFF1-NS-R1-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	UNRESOLVED	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220308	ERS358581	ERX324294	ERR351511	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351511/ERR351511_1.fastq.gz	8916681055	c0e0b689a7d51ee131288493bbdf0802	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000001	P0001	EX-P0001-001	C-P0001-001	R-P0001-001	B-P0001-001	ST-P0001-001	AS-P0001-001	NA	AC-P0001-001	RF-P0001-ERR351511-2	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-HFF1-NS-R1-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	UNRESOLVED	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220308	ERS358581	ERX324294	ERR351511	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351511/ERR351511_2.fastq.gz	9087948495	804ed46aef7289432a7363e774be296e	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000002	P0001	EX-P0001-001	C-P0001-002	R-P0001-002	B-P0001-002	ST-P0001-002	AS-P0001-002	NA	AC-P0001-002	RF-P0001-ERR351512-1	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-HFF1-M-R1-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220309	ERS358582	ERX324295	ERR351512	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351512/ERR351512_1.fastq.gz	6865486712	e6eb08474d29e4eaa4a0b7b42e2b16b4	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000002	P0001	EX-P0001-001	C-P0001-002	R-P0001-002	B-P0001-002	ST-P0001-002	AS-P0001-002	NA	AC-P0001-002	RF-P0001-ERR351512-2	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-HFF1-M-R1-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220309	ERS358582	ERX324295	ERR351512	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351512/ERR351512_2.fastq.gz	6985983296	88167ac70c6539ae27ba0a328100c633	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000003	P0001	EX-P0001-001	C-P0001-003	R-P0001-003	B-P0001-003	ST-P0001-003	AS-P0001-003	NA	AC-P0001-003	RF-P0001-ERR351513-1	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-K562-M-R2-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220311	ERS358584	ERX324297	ERR351513	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351513/ERR351513_1.fastq.gz	4088941943	641539e94e0a53a8a40ec1c96c445c1f	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000003	P0001	EX-P0001-001	C-P0001-003	R-P0001-003	B-P0001-003	ST-P0001-003	AS-P0001-003	NA	AC-P0001-003	RF-P0001-ERR351513-2	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-K562-M-R2-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220311	ERS358584	ERX324297	ERR351513	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351513/ERR351513_2.fastq.gz	4155338056	03abf8c74254a1145817ef178db77387	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000004	P0001	EX-P0001-001	C-P0001-004	R-P0001-004	B-P0001-004	ST-P0001-004	AS-P0001-004	NA	AC-P0001-004	RF-P0001-ERR351514-1	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-K562-M-R1-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220310	ERS358583	ERX324296	ERR351514	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351514/ERR351514_1.fastq.gz	2040587516	4d56641a2cf6524a4b941c1b868ff6e0	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000004	P0001	EX-P0001-001	C-P0001-004	R-P0001-004	B-P0001-004	ST-P0001-004	AS-P0001-004	NA	AC-P0001-004	RF-P0001-ERR351514-2	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948:CCHiC-K562-M-R1-fastq	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA2220310	ERS358583	ERX324296	ERR351514	ftp.sra.ebi.ac.uk/vol1/fastq/ERR351/ERR351514/ERR351514_2.fastq.gz	2050486705	e97ffc61a9b16ca5ad25e1df96c61359	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000005	P0001	EX-P0001-001	C-P0001-005	R-P0001-005	B-P0001-005	ST-P0001-005	AS-P0001-005	NA	AC-P0001-005	RF-P0001-ERR792487-1	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-0.25FA	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA3309444	ERS685906	ERX836641	ERR792487	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792487/ERR792487_1.fastq.gz	777620619	7ab73907b9b19da22ed102554ae6d56b	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
CAT-P0001-000005	P0001	EX-P0001-001	C-P0001-005	R-P0001-005	B-P0001-005	ST-P0001-005	AS-P0001-005	NA	AC-P0001-005	RF-P0001-ERR792487-2	Organization of the Mitotic Chromosome	10.1126/science.1236083	yes	study_generated	study_generated	study_generated	primary_analysis	Homo sapiens	HeLa S3	E-MTAB-1948_2:CCHiC-HeLaS3CCL2p2-M-0.25FA	5C/Hi-C related archive entry	NA	NR	NR	NR	NA	prometaphase/M	explicitly_inferred	NA	NA	NA	NA	NA	SAMEA3309444	ERS685906	ERX836641	ERR792487	ftp.sra.ebi.ac.uk/vol1/fastq/ERR792/ERR792487/ERR792487_2.fastq.gz	802714429	16d6c3f11a67a323a42647567ad08edc	verified_metadata_record	E-P0001-001|E-P0001-003	Light run-level row; file view expands paired FASTQ links.
