catalog_row_id	paper_id	experiment_id	condition_id	replicate_id	batch_id	sample_timepoint_id	archive_sample_id	perturbation_id	accession_record_id	file_id	paper_title	doi	own_data_status	biological_sample_origin_status	library_origin_status	sequencing_generation_status	analysis_usage_status	species_scientific	cell_line_or_tissue	sample_name_original	assay_type	detection_target	synchronization_method	time_zero_definition	sampling_time	sampling_time_unit	cell_cycle_phase	phase_evidence_type	perturbation_type	direct_target	expected_effect	observed_validation	gsm_accession	biosample_accession	sra_sample_accession	experiment_accession	run_accession	download_url	file_size_bytes	md5	online_verification_status	evidence_ids	notes
CAT-P0007-000001-F1	P0007	EX-P0007-001	C-P0007-001	R-P0007-001	B-P0007-001	ST-P0007-001	AS-P0007-001	NA	AC-P0007-001-001	RF-P0007-SRR5952286-1	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: G1 control sync.	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747738	SAMN07524514	SRS2445837	SRX3110752	SRR5952286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5952286/SRR5952286_1.fastq.gz	7276813252	cc7fa08db4b0464a0f5d6f8acb857bf4	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000001-F2	P0007	EX-P0007-001	C-P0007-001	R-P0007-001	B-P0007-001	ST-P0007-001	AS-P0007-001	NA	AC-P0007-001-001	RF-P0007-SRR5952286-2	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: G1 control sync.	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747738	SAMN07524514	SRS2445837	SRX3110752	SRR5952286	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5952286/SRR5952286_2.fastq.gz	7289546369	b12e5abdcd055275a8d58ee7d94db88c	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000002-F1	P0007	EX-P0007-001	C-P0007-001	R-P0007-001	B-P0007-001	ST-P0007-001	AS-P0007-001	NA	AC-P0007-001-002	RF-P0007-SRR5952287-1	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: G1 control sync.	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747738	SAMN07524514	SRS2445837	SRX3110752	SRR5952287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952287/SRR5952287_1.fastq.gz	8862400467	c5ba88493eb4b0b8d4608fbcff9f3399	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000002-F2	P0007	EX-P0007-001	C-P0007-001	R-P0007-001	B-P0007-001	ST-P0007-001	AS-P0007-001	NA	AC-P0007-001-002	RF-P0007-SRR5952287-2	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: G1 control sync.	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747738	SAMN07524514	SRS2445837	SRX3110752	SRR5952287	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952287/SRR5952287_2.fastq.gz	9129785475	efd108a71b843f9e19c2b43faa0bc1bd	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000003-F1	P0007	EX-P0007-001	C-P0007-002	R-P0007-002	B-P0007-002	ST-P0007-002	AS-P0007-002	NA	AC-P0007-002-001	RF-P0007-SRR5952288-1	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: Wapl RNAi	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747739	SAMN07524543	SRS2445840	SRX3110753	SRR5952288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5952288/SRR5952288_1.fastq.gz	8099192090	82f63e003ae03d3dbe046dba31114871	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000003-F2	P0007	EX-P0007-001	C-P0007-002	R-P0007-002	B-P0007-002	ST-P0007-002	AS-P0007-002	NA	AC-P0007-002-001	RF-P0007-SRR5952288-2	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: Wapl RNAi	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747739	SAMN07524543	SRS2445840	SRX3110753	SRR5952288	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5952288/SRR5952288_2.fastq.gz	8287500038	884e859f60adf2b04609ac6f75d4eba0	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000004-F1	P0007	EX-P0007-001	C-P0007-002	R-P0007-002	B-P0007-002	ST-P0007-002	AS-P0007-002	NA	AC-P0007-002-002	RF-P0007-SRR5952289-1	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: Wapl RNAi	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747739	SAMN07524543	SRS2445840	SRX3110753	SRR5952289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/009/SRR5952289/SRR5952289_1.fastq.gz	6264522146	276e22cbe59d197a8db5305c416b9281	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000004-F2	P0007	EX-P0007-001	C-P0007-002	R-P0007-002	B-P0007-002	ST-P0007-002	AS-P0007-002	NA	AC-P0007-002-002	RF-P0007-SRR5952289-2	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: Wapl RNAi	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747739	SAMN07524543	SRS2445840	SRX3110753	SRR5952289	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/009/SRR5952289/SRR5952289_2.fastq.gz	6462109932	1426a48a74176a3092edf4881a430a7e	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000005-F1	P0007	EX-P0007-001	C-P0007-003	R-P0007-003	B-P0007-003	ST-P0007-003	AS-P0007-003	NA	AC-P0007-003-001	RF-P0007-SRR5952290-1	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: Pds5SA/B RNAi	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747740	SAMN07524542	SRS2445838	SRX3110754	SRR5952290	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5952290/SRR5952290_1.fastq.gz	7949241125	26851caefdf027652bec49d54835f952	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
CAT-P0007-000005-F2	P0007	EX-P0007-001	C-P0007-003	R-P0007-003	B-P0007-003	ST-P0007-003	AS-P0007-003	NA	AC-P0007-003-001	RF-P0007-SRR5952290-2	Topologically associating domains and chromatin loops depend on cohesin and are regulated by CTCF, WAPL, and PDS5 proteins	10.15252/embj.201798004	unclear	UNRESOLVED	UNRESOLVED	UNRESOLVED	UNRESOLVED	Homo sapiens	cervical carcinoma	Hi-C: Pds5SA/B RNAi	ChIP-Seq|Hi-C	NR	NR	NR	NR	NA	NR	unknown	NR	NR	NR	NR	GSM2747740	SAMN07524542	SRS2445838	SRX3110754	SRR5952290	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5952290/SRR5952290_2.fastq.gz	8206757682	ed35950a2e3a88601e05a7b348dd8197	verified_metadata_record	E-P0007-002|E-P0007-003	Round7 run-level base row; file view expands only metadata links returned by ENA.
