run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR5952311	PRJNA399157	SRP115913	SRX3110770	SAMN07524526	SRS2445855	GSM2747756_r1	GSM2747756	GSM2747756	Homo sapiens	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5952311/SRR5952311.fastq.gz	7719c9eeab2b17f5a8158509f42e0a48	545930850			
SRR5952313	PRJNA399157	SRP115913	SRX3110772	SAMN07524524	SRS2445857	GSM2747758_r1	GSM2747758	GSM2747758	Homo sapiens	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/003/SRR5952313/SRR5952313.fastq.gz	2f8ebcdac972f74b73e5fb00c0f872be	420993684			
SRR5952318	PRJNA399157	SRP115913	SRX3110777	SAMN07524519	SRS2445862	GSM2747763_r1	GSM2747763	GSM2747763	Homo sapiens	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/008/SRR5952318/SRR5952318.fastq.gz	c49650b27fa6ee17aede3165993942ae	1244209042			
SRR5952321	PRJNA399157	SRP115913	SRX3110780	SAMN07524516	SRS2445865	GSM2747766_r1	GSM2747766	GSM2747766	Homo sapiens	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5952321/SRR5952321.fastq.gz	d04a51ace02228821568d621fa9611aa	719035918			
SRR5952286	PRJNA399157	SRP115913	SRX3110752	SAMN07524514	SRS2445837	GSM2747738_r1	GSM2747738	GSM2747738	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5952286/SRR5952286_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/006/SRR5952286/SRR5952286_2.fastq.gz	cc7fa08db4b0464a0f5d6f8acb857bf4;b12e5abdcd055275a8d58ee7d94db88c	7276813252;7289546369			
SRR5952294	PRJNA399157	SRP115913	SRX3110756	SAMN07524540	SRS2445841	GSM2747742_r1	GSM2747742	GSM2747742	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/004/SRR5952294/SRR5952294_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/004/SRR5952294/SRR5952294_2.fastq.gz	90716230a001426fb52c7340d2c6df65;4e838e55c565d04372c600c064b67387	8062350926;9358646718			
SRR5952297	PRJNA399157	SRP115913	SRX3110757	SAMN07524539	SRS2445842	GSM2747743_r2	GSM2747743	GSM2747743	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952297/SRR5952297_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952297/SRR5952297_2.fastq.gz	9dcd3e8ee95b5bd5d09d6f2c1939ea22;d6ade3885503de3f0f33feaa223d6d2d	7922735340;8876324905			
SRR5952301	PRJNA399157	SRP115913	SRX3110760	SAMN07524536	SRS2445845	GSM2747746_r1	GSM2747746	GSM2747746	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5952301/SRR5952301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/001/SRR5952301/SRR5952301_2.fastq.gz	02e1d5f86f6ca1eee7b77cb7b82d0a34;32cc8a3c0dbbdb356fea592fc0dce753	5683578474;5787294589			
SRR5952303	PRJNA399157	SRP115913	SRX3110762	SAMN07524534	SRS2445847	GSM2747748_r1	GSM2747748	GSM2747748	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/003/SRR5952303/SRR5952303_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/003/SRR5952303/SRR5952303_2.fastq.gz	83cdd3c092ec1d83681f2db46d81f6ea;0d1e0e74a1654b50d9bf5a63d4dc41cb	5203655512;5300346849			
SRR5952305	PRJNA399157	SRP115913	SRX3110764	SAMN07524532	SRS2445849	GSM2747750_r1	GSM2747750	GSM2747750	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5952305/SRR5952305_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/005/SRR5952305/SRR5952305_2.fastq.gz	e88cf944d1e12269764ba7d9a0c198cb;f2a2dd06d9268a2fe7385978f65b3c1b	9391561971;9601108935			
SRR5952309	PRJNA399157	SRP115913	SRX3110768	SAMN07524528	SRS2445853	GSM2747754_r1	GSM2747754	GSM2747754	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/009/SRR5952309/SRR5952309_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/009/SRR5952309/SRR5952309_2.fastq.gz	b2b82cf2bd424a3ec5975ba81570cfed;9ce4a58d38cd6fc51670ed78f3a35787	7467777043;7736919709			
SRR5952310	PRJNA399157	SRP115913	SRX3110769	SAMN07524527	SRS2445854	GSM2747755_r1	GSM2747755	GSM2747755	Homo sapiens	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5952310/SRR5952310_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/000/SRR5952310/SRR5952310_2.fastq.gz	b08756c64fcd6b0cedd1ec5db15abf63;3013a8b9a7cacdebd36286553b34cebd	8049406174;8359964086			
SRR5952317	PRJNA399157	SRP115913	SRX3110776	SAMN07524520	SRS2445861	GSM2747762_r1	GSM2747762	GSM2747762	Homo sapiens	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR595/007/SRR5952317/SRR5952317.fastq.gz	3739a554698a190392a7a32fac6359f6	500242618			
