run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR13858341	SRX10239385	SAMN18140091	SRS8380799	PRJNA706676	SRP309311	GSM5133380_r3	GSM5133380	GSM5133380	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/041/SRR13858341/SRR13858341_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/041/SRR13858341/SRR13858341_2.fastq.gz	ba8b170f2f2ad0202a6fc15e12f896f8;a7248e5dfb19d6666331410cac89d546	2417227748;2536386068			
SRR13858343	SRX10239386	SAMN18140090	SRS8380800	PRJNA706676	SRP309311	GSM5133381_r2	GSM5133381	GSM5133381	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13858343/SRR13858343_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/043/SRR13858343/SRR13858343_2.fastq.gz	522f989a8cbf790fc5114bf3afd8e23e;fcd34cfc36f4ee12545446cb6c2b07fe	2646144418;2728655442			
SRR13858345	SRX10239387	SAMN18140089	SRS8380801	PRJNA706676	SRP309311	GSM5133382_r1	GSM5133382	GSM5133382	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/045/SRR13858345/SRR13858345_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/045/SRR13858345/SRR13858345_2.fastq.gz	01c5d1cee23dc633fc1ce9106f527fa8;261bd849e82dd20e164f1bbd3475b405	2415005897;2469382446			
SRR13858352	SRX10239389	SAMN18140109	SRS8380803	PRJNA706676	SRP309311	GSM5133384_r2	GSM5133384	GSM5133384	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/052/SRR13858352/SRR13858352_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/052/SRR13858352/SRR13858352_2.fastq.gz	bc7e666668eb03d6dc0cd8985f6fbdaf;9ff887b5f40a86a1e17c531a8fca420f	1780181165;1828499276			
SRR13858354	SRX10239390	SAMN18140108	SRS8380804	PRJNA706676	SRP309311	GSM5133385_r1	GSM5133385	GSM5133385	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/054/SRR13858354/SRR13858354_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/054/SRR13858354/SRR13858354_2.fastq.gz	b5208b4f3a2219398da7993fa1104ba8;7c93bbf5da66f483636f9618910c253d	2288936576;2364622931			
SRR13858356	SRX10239390	SAMN18140108	SRS8380804	PRJNA706676	SRP309311	GSM5133385_r3	GSM5133385	GSM5133385	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/056/SRR13858356/SRR13858356_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/056/SRR13858356/SRR13858356_2.fastq.gz	2640ed1958cafbfb7dc22659126dd43c;764944ac798221b7d6f69d39cb7a0353	3816914573;3958128718			
SRR13858357	SRX10239391	SAMN18140107	SRS8380805	PRJNA706676	SRP309311	GSM5133386_r1	GSM5133386	GSM5133386	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/057/SRR13858357/SRR13858357_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/057/SRR13858357/SRR13858357_2.fastq.gz	07dee5fedea04986e5cf4a903b9f758f;773b0e83e9e937fc93661226ae2f4444	3085101281;3156706921			
SRR13858358	SRX10239391	SAMN18140107	SRS8380805	PRJNA706676	SRP309311	GSM5133386_r2	GSM5133386	GSM5133386	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/058/SRR13858358/SRR13858358_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/058/SRR13858358/SRR13858358_2.fastq.gz	32a53ca0857d27549f118b82306772b5;464106a8d5ef6a2ead463ca3618b6977	1979631989;2021909015			
SRR13858362	SRX10239392	SAMN18140106	SRS8380806	PRJNA706676	SRP309311	GSM5133387_r3	GSM5133387	GSM5133387	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/062/SRR13858362/SRR13858362_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/062/SRR13858362/SRR13858362_2.fastq.gz	a71a0550b3e9468aee0df29e52890538;90f14d29f412b23a0795d0c19666608e	3758954138;3889754419			
SRR13858363	SRX10239393	SAMN18140105	SRS8380807	PRJNA706676	SRP309311	GSM5133388_r1	GSM5133388	GSM5133388	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/063/SRR13858363/SRR13858363_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/063/SRR13858363/SRR13858363_2.fastq.gz	3744d614c5e6e3433ebdb8e4b394a464;93dae9f0633d3d39ee0b74004568f65a	5733472552;6010672019			
SRR13858364	SRX10239393	SAMN18140105	SRS8380807	PRJNA706676	SRP309311	GSM5133388_r2	GSM5133388	GSM5133388	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/064/SRR13858364/SRR13858364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/064/SRR13858364/SRR13858364_2.fastq.gz	c0012e2317de214171be06e467ee523b;4fdc31b35c5996f7d9cd8d20783b7fde	4214240316;4434363672			
SRR13858365	SRX10239394	SAMN18140104	SRS8380808	PRJNA706676	SRP309311	GSM5133389_r1	GSM5133389	GSM5133389	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/065/SRR13858365/SRR13858365_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/065/SRR13858365/SRR13858365_2.fastq.gz	60813d8b6d18aa260d73a86a29a9a6a5;82d8a0aebac40443abe3f3674f3f0dcf	2617188624;2707669671			
SRR13858368	SRX10239395	SAMN18140103	SRS8380809	PRJNA706676	SRP309311	GSM5133390_r1	GSM5133390	GSM5133390	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/068/SRR13858368/SRR13858368_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/068/SRR13858368/SRR13858368_2.fastq.gz	ecb35d46ec1bfed24716b5963648e865;4032b55eb0a2364312655d05df2402f5	4796814598;5026172928			
SRR13858371	SRX10239397	SAMN18140101	SRS8380811	PRJNA706676	SRP309311	GSM5133392_r1	GSM5133392	GSM5133392	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/071/SRR13858371/SRR13858371_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/071/SRR13858371/SRR13858371_2.fastq.gz	adf3bc301df8c1e9b28abb2bbc643cd6;e5d184641b97a50de5614c793bb20c55	2488319797;2594662490			
SRR13858372	SRX10239397	SAMN18140101	SRS8380811	PRJNA706676	SRP309311	GSM5133392_r2	GSM5133392	GSM5133392	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/072/SRR13858372/SRR13858372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/072/SRR13858372/SRR13858372_2.fastq.gz	7cc8cbfcd84028024d459395675beedc;1c920ead5708cfbbf067e447f9fa270e	2581000067;2681758083			
SRR13858373	SRX10239398	SAMN18140100	SRS8380812	PRJNA706676	SRP309311	GSM5133393_r1	GSM5133393	GSM5133393	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/073/SRR13858373/SRR13858373_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/073/SRR13858373/SRR13858373_2.fastq.gz	e2829f76206de0624558e5b9c6ed0250;a57ad3b966a6084add200f0ae81f471c	5861205806;6144140254			
SRR13858381	SRX10239401	SAMN18140097	SRS8380815	PRJNA706676	SRP309311	GSM5133396_r2	GSM5133396	GSM5133396	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/081/SRR13858381/SRR13858381_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/081/SRR13858381/SRR13858381_2.fastq.gz	36184572da11e51644e9e10dd45febaf;ba8711a80af44b3719024b532e630f8e	4330143776;4414255927			
SRR13858383	SRX10239402	SAMN18140096	SRS8380816	PRJNA706676	SRP309311	GSM5133397_r1	GSM5133397	GSM5133397	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/083/SRR13858383/SRR13858383_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/083/SRR13858383/SRR13858383_2.fastq.gz	b160b72e4a259d624f1b911f6df6ad77;09a6b30a9c7b095c5d410ea939314e67	3464645805;3547025270			
SRR13848196	SRX10229669	SAMN18128743	SRS8371863	PRJNA706396	SRP309136	GSM5133011_r1	GSM5133011	GSM5133011	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/096/SRR13848196/SRR13848196.fastq.gz	81be8d20e7c9ff6f473fdfbc5f4593ad	822333057			
SRR13848204	SRX10229677	SAMN18128735	SRS8371870	PRJNA706396	SRP309136	GSM5133020_r1	GSM5133020	GSM5133020	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/004/SRR13848204/SRR13848204.fastq.gz	87cf8484e59f45fb12bf053e741ef46e	638768589			
SRR13848205	SRX10229678	SAMN18128734	SRS8371871	PRJNA706396	SRP309136	GSM5133022_r1	GSM5133022	GSM5133022	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/005/SRR13848205/SRR13848205.fastq.gz	80341c1ba202c194edbf4240ee7a7b3f	981720968			
SRR13848206	SRX10229679	SAMN18128729	SRS8371872	PRJNA706396	SRP309136	GSM5133023_r1	GSM5133023	GSM5133023	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/006/SRR13848206/SRR13848206.fastq.gz	e445f712dec70d431d9489b521b7c4e4	1846209668			
SRR13848207	SRX10229680	SAMN18128733	SRS8371873	PRJNA706396	SRP309136	GSM5133024_r1	GSM5133024	GSM5133024	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/007/SRR13848207/SRR13848207.fastq.gz	a15e750b91c91b16945a84d1106a9ce1	792754138			
