run_accession	experiment_accession	sample_accession	secondary_sample_accession	study_accession	secondary_study_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR13858346	SRX10239387	SAMN18140089	SRS8380801	PRJNA706676	SRP309311	GSM5133382_r2	GSM5133382	GSM5133382	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/046/SRR13858346/SRR13858346_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/046/SRR13858346/SRR13858346_2.fastq.gz	5088f3f151801beb1ce8c27195b0630f;7956480d0388ea05a7824618a955df83	2772581160;2832229149			
SRR13858347	SRX10239387	SAMN18140089	SRS8380801	PRJNA706676	SRP309311	GSM5133382_r3	GSM5133382	GSM5133382	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/047/SRR13858347/SRR13858347_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/047/SRR13858347/SRR13858347_2.fastq.gz	fd459baa2d4c9a1c3e3f15963c64060a;2be4f3a788fcde3b25c8c2e04dad9d6c	4395805979;4510734660			
SRR13858349	SRX10239388	SAMN18140110	SRS8380802	PRJNA706676	SRP309311	GSM5133383_r2	GSM5133383	GSM5133383	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/049/SRR13858349/SRR13858349_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/049/SRR13858349/SRR13858349_2.fastq.gz	eecfc88916f61953de84071e800e4a25;5166c0e28a211d09410032bdc49cf5e3	2661991222;2783385189			
SRR13858350	SRX10239388	SAMN18140110	SRS8380802	PRJNA706676	SRP309311	GSM5133383_r3	GSM5133383	GSM5133383	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/050/SRR13858350/SRR13858350_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/050/SRR13858350/SRR13858350_2.fastq.gz	5718c3e43a6172ff71730a03148ef8b6;84cd38fefbf2f4d90b24921dd829d405	864528738;915469365			
SRR13858353	SRX10239389	SAMN18140109	SRS8380803	PRJNA706676	SRP309311	GSM5133384_r3	GSM5133384	GSM5133384	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/053/SRR13858353/SRR13858353_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/053/SRR13858353/SRR13858353_2.fastq.gz	04a84f70eac8b5949de130bd39550909;7dcd156ee9aff5501af8066ea555829e	3764040428;3893790001			
SRR13858355	SRX10239390	SAMN18140108	SRS8380804	PRJNA706676	SRP309311	GSM5133385_r2	GSM5133385	GSM5133385	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/055/SRR13858355/SRR13858355_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/055/SRR13858355/SRR13858355_2.fastq.gz	fc1c03b382be41f8fa84e0ee27e7913b;bb111397e2939101ea70d52cd4c84aa0	2386692166;2464403179			
SRR13858361	SRX10239392	SAMN18140106	SRS8380806	PRJNA706676	SRP309311	GSM5133387_r2	GSM5133387	GSM5133387	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/061/SRR13858361/SRR13858361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/061/SRR13858361/SRR13858361_2.fastq.gz	909edfb6efb1218baa09eda9a153c7a6;2d36ccf5402988d5ee5f68b9a1978161	2411307990;2483440896			
SRR13858366	SRX10239394	SAMN18140104	SRS8380808	PRJNA706676	SRP309311	GSM5133389_r2	GSM5133389	GSM5133389	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/066/SRR13858366/SRR13858366_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/066/SRR13858366/SRR13858366_2.fastq.gz	0f6027ffe9c82419d2ebf6ed1c474da5;a0f56ad5a1e904e97b47b82f7e4f207e	2811973525;2903747555			
SRR13858367	SRX10239394	SAMN18140104	SRS8380808	PRJNA706676	SRP309311	GSM5133389_r3	GSM5133389	GSM5133389	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/067/SRR13858367/SRR13858367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/067/SRR13858367/SRR13858367_2.fastq.gz	6f223db56002ad4ab720efae9955320e;2a0fd7dfaca8961d443961bf62fc8b79	3319734170;3455552992			
SRR13858370	SRX10239396	SAMN18140102	SRS8380810	PRJNA706676	SRP309311	GSM5133391_r2	GSM5133391	GSM5133391	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/070/SRR13858370/SRR13858370_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/070/SRR13858370/SRR13858370_2.fastq.gz	1fe8971b2b8b268cad0bb08ae710bd08;78022200968d8c690cfbfd6a30816cd9	5453159639;5588256635			
SRR13858375	SRX10239399	SAMN18140099	SRS8380813	PRJNA706676	SRP309311	GSM5133394_r2	GSM5133394	GSM5133394	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/075/SRR13858375/SRR13858375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/075/SRR13858375/SRR13858375_2.fastq.gz	4e5303cd931f36a034b928fe06983ab3;553bf6c4a3916a0e05771b0efb1140dc	5201951215;5301434127			
SRR13858378	SRX10239400	SAMN18140098	SRS8380814	PRJNA706676	SRP309311	GSM5133395_r2	GSM5133395	GSM5133395	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/078/SRR13858378/SRR13858378_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/078/SRR13858378/SRR13858378_2.fastq.gz	d881175d5b6be05b08f0bce5b4a5d3c8;d7c4799983f20a094cd2a3e9b8490552	5515447477;5640158041			
SRR13858379	SRX10239400	SAMN18140098	SRS8380814	PRJNA706676	SRP309311	GSM5133395_r3	GSM5133395	GSM5133395	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/079/SRR13858379/SRR13858379_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/079/SRR13858379/SRR13858379_2.fastq.gz	17a58d398fb3295ea34c85e70b781970;809cdcb904cdf9a5b3421d6a8d9cde9a	4050864238;4168900358			
SRR13858382	SRX10239401	SAMN18140097	SRS8380815	PRJNA706676	SRP309311	GSM5133396_r3	GSM5133396	GSM5133396	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/082/SRR13858382/SRR13858382_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR138/082/SRR13858382/SRR13858382_2.fastq.gz	0faf6b04f3bf728ee9365c13243d525e;d873e8f475b9b37016a020745818ffcd	6113930856;6273260389			
SRR15680631	SRX10239385	SAMN18140091	SRS8380799	PRJNA706676	SRP309311	GSM5133380_r11	GSM5133380	GSM5133380	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/031/SRR15680631/SRR15680631_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/031/SRR15680631/SRR15680631_2.fastq.gz	38941520aa481eee79bfc4cb6ab52277;3c7c813994498eb3cdb56e6893aae13e	3078331981;3174528445			
SRR15680634	SRX10239386	SAMN18140090	SRS8380800	PRJNA706676	SRP309311	GSM5133381_r12	GSM5133381	GSM5133381	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/034/SRR15680634/SRR15680634_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/034/SRR15680634/SRR15680634_2.fastq.gz	ecac363a1ab66a721f9f1787cedf33e4;866b2f42121df42e91277dfbffef275a	2301831579;2363357352			
SRR15680637	SRX10239388	SAMN18140110	SRS8380802	PRJNA706676	SRP309311	GSM5133383_r11	GSM5133383	GSM5133383	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/037/SRR15680637/SRR15680637_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/037/SRR15680637/SRR15680637_2.fastq.gz	f0db68dc18661a44d4bfca18325c4b2a;9afd9d77ab5f1230d9a3ce911d45bb11	3438111673;3613855140			
SRR15680639	SRX10239389	SAMN18140109	SRS8380803	PRJNA706676	SRP309311	GSM5133384_r11	GSM5133384	GSM5133384	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/039/SRR15680639/SRR15680639_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/039/SRR15680639/SRR15680639_2.fastq.gz	2a79c50046c90536848be23f5c400f0a;a7e175bf9a32c22477bd8ad6a9ca9f54	3451792953;3556356118			
SRR15680642	SRX10239390	SAMN18140108	SRS8380804	PRJNA706676	SRP309311	GSM5133385_r12	GSM5133385	GSM5133385	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/042/SRR15680642/SRR15680642_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/042/SRR15680642/SRR15680642_2.fastq.gz	c63409a71e53b7b77e7387f70a727976;96a702cd3f9a88d6fbf55723b78bb6c1	2429376951;2496529123			
SRR15680645	SRX10239392	SAMN18140106	SRS8380806	PRJNA706676	SRP309311	GSM5133387_r11	GSM5133387	GSM5133387	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/045/SRR15680645/SRR15680645_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/045/SRR15680645/SRR15680645_2.fastq.gz	b4640f16f593af062e1b6487c807e7c3;cf1b0fdd0703b82ed857c5d57d39f29b	3386398842;3478381954			
SRR15680647	SRX10239393	SAMN18140105	SRS8380807	PRJNA706676	SRP309311	GSM5133388_r11	GSM5133388	GSM5133388	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/047/SRR15680647/SRR15680647_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/047/SRR15680647/SRR15680647_2.fastq.gz	84ba0a222b5aa850d3d730cda7d64008;fcad5151d658490d043b71049f35530f	4149899414;4354377502			
SRR15680651	SRX10239397	SAMN18140101	SRS8380811	PRJNA706676	SRP309311	GSM5133392_r11	GSM5133392	GSM5133392	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/051/SRR15680651/SRR15680651_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/051/SRR15680651/SRR15680651_2.fastq.gz	3e95fdd9004841604e74ad23dfe9431a;6517a5eb95e9805a1bd5e507ebd97fbf	3600499120;3763422624			
SRR15680652	SRX10239397	SAMN18140101	SRS8380811	PRJNA706676	SRP309311	GSM5133392_r12	GSM5133392	GSM5133392	Mus musculus	Hi-C	PAIRED	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/052/SRR15680652/SRR15680652_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR156/052/SRR15680652/SRR15680652_2.fastq.gz	d51a36123a728e983695849f240ee64c;6978f07d408f89ccd74227cbe933f8d9	591780496;620888224			
