Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR15680638,2021-08-31 18:27:43,2021-08-31 18:03:15,60800748,9120112200,60800748,150,3247,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680638/SRR15680638.lite.1,SRX10239388,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380802,SAMN18140110,simple,10090,Mus musculus,GSM5133383,,,,,,,no,,,,,GEO,SRA1202964,,public,CE976E502F91D4DA7335C7DEE4639480,7E5AB372775188EE8030022073071A9A
SRR13858348,2021-06-18 17:19:36,2021-03-04 17:40:47,61558321,9233748150,61558321,150,3510,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858348/SRR13858348.lite.1,SRX10239388,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380802,SAMN18140110,simple,10090,Mus musculus,GSM5133383,,,,,,,no,,,,,GEO,SRA1202964,,public,D560FB7C1262B9017367B5F561C89D6E,E936466A5C22E35D2A615E584044BA6C
SRR13858349,2021-06-18 17:19:36,2021-03-05 10:14:50,56211286,8431692900,56211286,150,3338,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858349/SRR13858349.lite.1,SRX10239388,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380802,SAMN18140110,simple,10090,Mus musculus,GSM5133383,,,,,,,no,,,,,GEO,SRA1202964,,public,39D8AEB03115CCC37FCF2834F729C0B9,A91C4EE6DDA1CD9D97D909D5AC84929C
SRR13858350,2021-06-18 17:19:36,2021-03-04 17:16:26,19970659,2995598850,19970659,150,1153,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858350/SRR13858350.lite.1,SRX10239388,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380802,SAMN18140110,simple,10090,Mus musculus,GSM5133383,,,,,,,no,,,,,GEO,SRA1202964,,public,942E6A37A95CB000AA48CDA9B2F9F0E3,B12EB2FC4243CEDB4AD2EE78927A4FEB
SRR13858351,2021-06-18 17:19:36,2021-03-04 17:39:07,65484908,9822736200,65484908,150,3712,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858351/SRR13858351.lite.1,SRX10239389,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380803,SAMN18140109,simple,10090,Mus musculus,GSM5133384,,,,,,,no,,,,,GEO,SRA1202964,,public,8DFD7893B22B5946E46A13818C29FB4B,17B63507BEC7D92687DFC241EEDE4C74
SRR13858352,2021-06-18 17:19:36,2021-03-04 17:44:07,38110616,5716592400,38110616,150,2339,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858352/SRR13858352.lite.1,SRX10239389,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380803,SAMN18140109,simple,10090,Mus musculus,GSM5133384,,,,,,,no,,,,,GEO,SRA1202964,,public,6DD88912EFCB47801130BF89E0D5A620,1B3889323FD0B7774898AA518914C5C9
SRR13858353,2021-06-18 17:19:36,2021-03-05 16:50:17,77061708,11559256200,77061708,150,4692,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR013/13858/SRR13858353/SRR13858353.lite.1,SRX10239389,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380803,SAMN18140109,simple,10090,Mus musculus,GSM5133384,,,,,,,no,,,,,GEO,SRA1202964,,public,55EB4EDB281A275FD6D5F0F1C88BC926,F6B756791C2EA94A04B0EF864F0D5032
SRR15680639,2021-08-31 20:23:12,2021-08-31 18:15:40,80303333,12045499950,80303333,150,4483,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680639/SRR15680639.lite.1,SRX10239389,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380803,SAMN18140109,simple,10090,Mus musculus,GSM5133384,,,,,,,no,,,,,GEO,SRA1202964,,public,7FE18E1B2F089B17F08A2E8B42093353,0A3D4E9A9C8B4093C333FA9E5D865C37
SRR15680640,2021-08-31 18:27:43,2021-08-31 17:58:55,70477048,10571557200,70477048,150,3820,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680640/SRR15680640.lite.1,SRX10239389,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380803,SAMN18140109,simple,10090,Mus musculus,GSM5133384,,,,,,,no,,,,,GEO,SRA1202964,,public,FF46469689C25E6FA89D99DD401A88E4,609D8FC5675E233E5FD81006A0A07E38
SRR15680641,2021-08-31 18:46:22,2021-08-31 18:23:09,87583193,13137478950,87583193,150,4523,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680641/SRR15680641.lite.1,SRX10239390,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380804,SAMN18140108,simple,10090,Mus musculus,GSM5133385,,,,,,,no,,,,,GEO,SRA1202964,,public,029510CF0F1612B69DD006F26CC2C9B8,594EB7D76E9872A6B65E7AEDF0D4CA4A
SRR15680642,2021-08-31 18:27:43,2021-08-31 18:01:26,60134127,9020119050,60134127,150,3144,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR015/15680/SRR15680642/SRR15680642.lite.1,SRX10239390,,Hi-C,other,GENOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP309311,PRJNA706676,3,706676,SRS8380804,SAMN18140108,simple,10090,Mus musculus,GSM5133385,,,,,,,no,,,,,GEO,SRA1202964,,public,CB75B4411FC70343E6953C4ED82D01C6,B16C9E9B175F6A8637CEC7F9B8DF0F6A
