run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR27723043	PRJNA1068949	SRP485869	SRX23389009	SAMN39605695	SRS20250140	GSM8035613_r1	GSM8035613_r1	GSM8035613	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/043/SRR27723043/SRR27723043_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/043/SRR27723043/SRR27723043_2.fastq.gz	2b0c8393f8076b59f6c09e19fb1d7b10;330d27717f685e8934fcd16447fa720a	1042145897;1040938212			
SRR27723054	PRJNA1068949	SRP485869	SRX23388998	SAMN39605706	SRS20250129	GSM8035602_r1	GSM8035602_r1	GSM8035602	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/054/SRR27723054/SRR27723054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/054/SRR27723054/SRR27723054_2.fastq.gz	70167b1269012be3bfefa8fe2273bff4;a722157ac92a307bd43937e70d3a9242	1126950316;1125528953			
SRR27723060	PRJNA1068949	SRP485869	SRX23388992	SAMN39605712	SRS20250123	GSM8035596_r1	GSM8035596_r1	GSM8035596	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/060/SRR27723060/SRR27723060_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/060/SRR27723060/SRR27723060_2.fastq.gz	558f504b00362859438f1b116cf3ecfb;93425d0d534e9dfadb53d0b1482fd9ff	1194500469;1193081947			
SRR27723063	PRJNA1068949	SRP485869	SRX23388989	SAMN39605715	SRS20250120	GSM8035593_r1	GSM8035593_r1	GSM8035593	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/063/SRR27723063/SRR27723063_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/063/SRR27723063/SRR27723063_2.fastq.gz	c8391a8cce0861c6e99abdaaea8d2eed;bbb49935e03c010b348f0097a9e96ec8	1228503038;1226858762			
SRR27723064	PRJNA1068949	SRP485869	SRX23388988	SAMN39605716	SRS20250119	GSM8035592_r1	GSM8035592_r1	GSM8035592	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/064/SRR27723064/SRR27723064_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/064/SRR27723064/SRR27723064_2.fastq.gz	1fb20b3a34d9283dd6fafca1e2ccdf19;d3116da0465b4fea6e43059e843b0f59	1004088392;1002534633			
SRR27723068	PRJNA1068949	SRP485869	SRX23388984	SAMN39605720	SRS20250115	GSM8035588_r1	GSM8035588_r1	GSM8035588	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/068/SRR27723068/SRR27723068_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/068/SRR27723068/SRR27723068_2.fastq.gz	a32fc24a92c1153100c0837a3be751b5;ebb09b1a65c2bf901ba603f30d277f22	1342790439;1341237664			
SRR27723072	PRJNA1068948	SRP485870	SRX23389020	SAMN39610093	SRS20260346	GSM8035624_r1	GSM8035624_r1	GSM8035624	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/072/SRR27723072/SRR27723072_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/072/SRR27723072/SRR27723072_2.fastq.gz	2a2d8612877066e870baa7fd1b587a7e;7ef3c0d345d7ccb1b702beb952f7e18b	1601193126;1603256010			
SRR27723073	PRJNA1068948	SRP485870	SRX23389019	SAMN39610094	SRS20260347	GSM8035623_r1	GSM8035623_r1	GSM8035623	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/073/SRR27723073/SRR27723073_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/073/SRR27723073/SRR27723073_2.fastq.gz	7172245b4c70fab3949de11d158cfa56;3106371fc67f8004497aec9705bcc3b6	1838023568;1842788320			
SRR27723079	PRJNA1068948	SRP485870	SRX23389013	SAMN39610100	SRS20260340	GSM8035617_r1	GSM8035617_r1	GSM8035617	Gallus gallus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/079/SRR27723079/SRR27723079.fastq.gz	a4614754b36e66cc6c04f87f4ddd0650	639345800			
SRR27793137	PRJNA1071267	SRP486984	SRX23456801	SAMN39682087	SRS20309787	GSM8048037_r1	GSM8048037_r1	GSM8048037	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/037/SRR27793137/SRR27793137_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/037/SRR27793137/SRR27793137_2.fastq.gz	1668086c60648448b7560af210da6942;261ce20e0bb4c5876e5402e8bd498cf3	1215422004;1220387872			
SRR27793141	PRJNA1071267	SRP486984	SRX23456797	SAMN39682091	SRS20309783	GSM8048033_r1	GSM8048033_r1	GSM8048033	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/041/SRR27793141/SRR27793141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/041/SRR27793141/SRR27793141_2.fastq.gz	5c1daa1a3e38e27a7e9f1ba471f150cb;f0c973c9a9f0c92b0830b965108051f9	713506170;714008712			
SRR27793143	PRJNA1071267	SRP486984	SRX23456795	SAMN39682093	SRS20309780	GSM8048031_r1	GSM8048031_r1	GSM8048031	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/043/SRR27793143/SRR27793143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/043/SRR27793143/SRR27793143_2.fastq.gz	bfa4f94564a4ea6c750fdec43b56c905;31281c666a97bf637fdab67da49dbbd8	1539535632;1541089740			
SRR27793155	PRJNA1071267	SRP486984	SRX23456783	SAMN39682105	SRS20309769	GSM8048019_r1	GSM8048019_r1	GSM8048019	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/055/SRR27793155/SRR27793155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/055/SRR27793155/SRR27793155_2.fastq.gz	965644543f5a3e0f6ff5a923325ddd80;340363b53efc9d59fa4fbe1013bafa98	1962468529;1966612186			
SRR27793161	PRJNA1071267	SRP486984	SRX23456777	SAMN39682111	SRS20309763	GSM8048013_r1	GSM8048013_r1	GSM8048013	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/061/SRR27793161/SRR27793161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/061/SRR27793161/SRR27793161_2.fastq.gz	18630915cb85b7cee1d9ebee10b7b615;861bd3a02ba9ab0eb8d2fca54bca1b83	458503790;457842374			
SRR27793162	PRJNA1071267	SRP486984	SRX23456776	SAMN39682112	SRS20309762	GSM8048012_r1	GSM8048012_r1	GSM8048012	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/062/SRR27793162/SRR27793162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/062/SRR27793162/SRR27793162_2.fastq.gz	97f2415a0143b1583bc52ac4b9f02695;0a30a7b2a3a793096f467475731a00c7	508265862;507448180			
SRR27793168	PRJNA1071267	SRP486984	SRX23456770	SAMN39682118	SRS20309757	GSM8048006_r1	GSM8048006_r1	GSM8048006	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/068/SRR27793168/SRR27793168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/068/SRR27793168/SRR27793168_2.fastq.gz	8b9175d9bc6b6156f04c436a9569dd41;67f4ab5540380ee72912d7c85ce877ca	514188707;512961411			
SRR27793173	PRJNA1071267	SRP486984	SRX23456765	SAMN39682123	SRS20309751	GSM8048001_r1	GSM8048001_r1	GSM8048001	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/073/SRR27793173/SRR27793173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/073/SRR27793173/SRR27793173_2.fastq.gz	dac54fe5d405b7ee09b293ec738e3448;ca4a3f6dbdd68e0838dae4ccb4c3eaac	584463730;582212440			
SRR27793174	PRJNA1071267	SRP486984	SRX23456764	SAMN39682124	SRS20309750	GSM8048000_r1	GSM8048000_r1	GSM8048000	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/074/SRR27793174/SRR27793174_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/074/SRR27793174/SRR27793174_2.fastq.gz	8cf77d21b8229d7ace9a73bd1f62b26c;26bbc5860eb10e6c9f8a7ee3d26a4c87	750311815;747953903			
SRR27793176	PRJNA1071267	SRP486984	SRX23456762	SAMN39682126	SRS20309748	GSM8047998_r1	GSM8047998_r1	GSM8047998	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/076/SRR27793176/SRR27793176_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/076/SRR27793176/SRR27793176_2.fastq.gz	fe78dcfd46392f1049b2b99b99568e29;49765b8c51b6a1498f0e1b1dab75044d	460940910;459392596			
SRR27793183	PRJNA1071267	SRP486984	SRX23456755	SAMN39682133	SRS20309741	GSM8047991_r1	GSM8047991_r1	GSM8047991	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/083/SRR27793183/SRR27793183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/083/SRR27793183/SRR27793183_2.fastq.gz	4d6e3b74f36f6928ccaa4ac977441e70;c398bf92e4f345b94e8da56b05d75b34	588771246;586521433			
SRR27793190	PRJNA1071267	SRP486984	SRX23456748	SAMN39682140	SRS20309735	GSM8047984_r1	GSM8047984_r1	GSM8047984	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/090/SRR27793190/SRR27793190_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/090/SRR27793190/SRR27793190_2.fastq.gz	d0a3c3885f351047d039d1b7f1bf6a91;5807a9b8b0a2d4d01504529eb146208d	474162678;473691067			
SRR27723042	PRJNA1068949	SRP485869	SRX23389010	SAMN39605694	SRS20250141	GSM8035614_r1	GSM8035614_r1	GSM8035614	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/042/SRR27723042/SRR27723042_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/042/SRR27723042/SRR27723042_2.fastq.gz	c5bbad1c895dae815318507d258ff17d;e4c93866c50a54aac9ab56e0007e2903	1136179564;1134916494			
SRR27723045	PRJNA1068949	SRP485869	SRX23389007	SAMN39605697	SRS20250138	GSM8035611_r1	GSM8035611_r1	GSM8035611	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/045/SRR27723045/SRR27723045_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/045/SRR27723045/SRR27723045_2.fastq.gz	b4f5e2c887e669b84166d8b6a9ef1337;c9cba2af85116289c7d96a82e796d29b	1289745168;1288251888			
SRR27723046	PRJNA1068949	SRP485869	SRX23389006	SAMN39605698	SRS20250137	GSM8035610_r1	GSM8035610_r1	GSM8035610	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/046/SRR27723046/SRR27723046_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/046/SRR27723046/SRR27723046_2.fastq.gz	672ee76869b164ea63c2cc2c149b8f6f;144f9c7c0a28e842604213bedcc37758	1103271054;1101805116			
SRR27723047	PRJNA1068949	SRP485869	SRX23389005	SAMN39605699	SRS20250136	GSM8035609_r1	GSM8035609_r1	GSM8035609	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/047/SRR27723047/SRR27723047_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/047/SRR27723047/SRR27723047_2.fastq.gz	1b1ce2e36ddadcd785ac6a5d19b26fe8;580518686f2e7e4d22a26d6fe23bac1b	1035815796;1034346256			
SRR27723048	PRJNA1068949	SRP485869	SRX23389004	SAMN39605700	SRS20250135	GSM8035608_r1	GSM8035608_r1	GSM8035608	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/048/SRR27723048/SRR27723048_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/048/SRR27723048/SRR27723048_2.fastq.gz	2ade8b8e5adf40f4acb6a23a9f0b8c8a;1a3480d651a57cfe3830502d60ef336d	1396274162;1395033883			
SRR27723056	PRJNA1068949	SRP485869	SRX23388996	SAMN39605708	SRS20250127	GSM8035600_r1	GSM8035600_r1	GSM8035600	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/056/SRR27723056/SRR27723056_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/056/SRR27723056/SRR27723056_2.fastq.gz	40ccb75889464dfa314daa94412721ab;3a07639f14ec8c074b08e555667bcb75	1275550474;1274119779			
SRR27723057	PRJNA1068949	SRP485869	SRX23388995	SAMN39605709	SRS20250126	GSM8035599_r1	GSM8035599_r1	GSM8035599	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/057/SRR27723057/SRR27723057_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/057/SRR27723057/SRR27723057_2.fastq.gz	a3f94979ea06d2d802933231c7efd580;2a90dcc6227609af76d7767ca3ff45e0	1211428949;1209937089			
SRR27723059	PRJNA1068949	SRP485869	SRX23388993	SAMN39605711	SRS20250124	GSM8035597_r1	GSM8035597_r1	GSM8035597	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/059/SRR27723059/SRR27723059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/059/SRR27723059/SRR27723059_2.fastq.gz	c8072093242590334a87932a2d1bfeac;dc11378d7970b448f16f689c51dab530	1118987758;1117649347			
SRR27723061	PRJNA1068949	SRP485869	SRX23388991	SAMN39605713	SRS20250122	GSM8035595_r1	GSM8035595_r1	GSM8035595	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/061/SRR27723061/SRR27723061_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/061/SRR27723061/SRR27723061_2.fastq.gz	e3928b0877d33f53881b09b19bb1b516;f5d26aa5f2920f5c2b0fb471039e1c9a	1193247295;1191665006			
SRR27723062	PRJNA1068949	SRP485869	SRX23388990	SAMN39605714	SRS20250121	GSM8035594_r1	GSM8035594_r1	GSM8035594	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/062/SRR27723062/SRR27723062_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/062/SRR27723062/SRR27723062_2.fastq.gz	720f8f410e95fe2d56d743dd1155caa7;2a6f53f0626bca157c354b17c8ee95d6	1343704317;1342145071			
SRR27723070	PRJNA1068949	SRP485869	SRX23388982	SAMN39605722	SRS20250113	GSM8035586_r1	GSM8035586_r1	GSM8035586	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/070/SRR27723070/SRR27723070_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/070/SRR27723070/SRR27723070_2.fastq.gz	484de3f5095e807196e1189866e30c41;c43a8a26ba4fa66f464607490c6779e2	1239780875;1239044974			
SRR27723071	PRJNA1068949	SRP485869	SRX23388981	SAMN39605723	SRS20250112	GSM8035585_r1	GSM8035585_r1	GSM8035585	Gallus gallus	ChIP-Seq	PAIRED	ILLUMINA	NextSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/071/SRR27723071/SRR27723071_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/071/SRR27723071/SRR27723071_2.fastq.gz	494558f33308e7fb3fba2e7b2181e100;488de3993680f9a04b5b57c866b5cc9e	1018103237;1017049703			
SRR27723074	PRJNA1068948	SRP485870	SRX23389018	SAMN39610095	SRS20260344	GSM8035622_r1	GSM8035622_r1	GSM8035622	Gallus gallus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/074/SRR27723074/SRR27723074.fastq.gz	df7f538f268d1f72c2ec957ff43f6c93	379620564			
SRR27723076	PRJNA1068948	SRP485870	SRX23389016	SAMN39610097	SRS20260343	GSM8035620_r1	GSM8035620_r1	GSM8035620	Gallus gallus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/076/SRR27723076/SRR27723076.fastq.gz	da04fc06a705cb7af6e16d99f4d60f77	552191617			
SRR27723078	PRJNA1068948	SRP485870	SRX23389014	SAMN39610099	SRS20260342	GSM8035618_r1	GSM8035618_r1	GSM8035618	Gallus gallus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/078/SRR27723078/SRR27723078.fastq.gz	8415a62e4d15aa985755383cd9a801b6	647108919			
SRR27793133	PRJNA1071267	SRP486984	SRX23456805	SAMN39682083	SRS20309791	GSM8048041_r1	GSM8048041_r1	GSM8048041	Gallus gallus	OTHER	PAIRED	ILLUMINA	Illumina NovaSeq 6000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/033/SRR27793133/SRR27793133_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR277/033/SRR27793133/SRR27793133_2.fastq.gz	02f335f609b365da6a6c73cebea9a353;5c41e47151efd630648ed8097e260783	1618115562;1618866212			
