run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR5928313	PRJNA360958	SRP096571	SRX3088632	SAMN07499438	SRS2426363	GSM2740561_r1	GSM2740561	GSM2740561	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR592/003/SRR5928313/SRR5928313.fastq.gz	189e15c97f7d7b769b76a5833d8b3474	2283347931			
SRR5928316	PRJNA360958	SRP096571	SRX3088633	SAMN07499437	SRS2426364	GSM2740562_r2	GSM2740562	GSM2740562	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR592/006/SRR5928316/SRR5928316.fastq.gz	5c6472643052c603ee647cb41bf45814	2357250392			
SRR5928321	PRJNA360958	SRP096571	SRX3088636	SAMN07499434	SRS2426367	GSM2740565_r2	GSM2740565	GSM2740565	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR592/001/SRR5928321/SRR5928321.fastq.gz	bd28b26aa0cdf74540c70d44f5ab940b	1893512814			
SRR5168120	PRJNA360958	SRP096571	SRX2485040	SAMN06217804	SRS1915320	GSM2453279_r3	GSM2453279	GSM2453279	Mus musculus	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/000/SRR5168120/SRR5168120.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/000/SRR5168120/SRR5168120_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/000/SRR5168120/SRR5168120_2.fastq.gz	0a2c31a9915c599bce518c8ca436095b;266c790b694df942ec60ea33872760ce;48f83fc068ee0af64b3e0dcb75386372	41537804;741331396;754526818			
SRR5168122	PRJNA360958	SRP096571	SRX2485040	SAMN06217804	SRS1915320	GSM2453279_r5	GSM2453279	GSM2453279	Mus musculus	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/002/SRR5168122/SRR5168122.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/002/SRR5168122/SRR5168122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/002/SRR5168122/SRR5168122_2.fastq.gz	88ad4e7483c5926470a4c49463458903;a3fcce98638f1ec7e2c1d37b1b530d5e;365eaf0b252abd7bf879e940a8d3d61c	42791760;755626389;770303696			
SRR5168123	PRJNA360958	SRP096571	SRX2485040	SAMN06217804	SRS1915320	GSM2453279_r6	GSM2453279	GSM2453279	Mus musculus	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/003/SRR5168123/SRR5168123.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/003/SRR5168123/SRR5168123_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/003/SRR5168123/SRR5168123_2.fastq.gz	49763d6b08562b17cc0a2ee52623cbd2;5335111e62440a3f5acffa8bb2473ffb;cd2aadeff221a7fcd0ae433d52382132	41371576;740750917;753449791			
SRR5168124	PRJNA360958	SRP096571	SRX2485040	SAMN06217804	SRS1915320	GSM2453279_r7	GSM2453279	GSM2453279	Mus musculus	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/004/SRR5168124/SRR5168124.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/004/SRR5168124/SRR5168124_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/004/SRR5168124/SRR5168124_2.fastq.gz	5fb9c5648e680536ee2431b716545ce3;3a9a27ad2d05f4784c46ccdb3bae3fd7;d99b75d9e6dc790c318ad0be7fbf999f	45886982;715208870;743218206			
SRR5168125	PRJNA360958	SRP096571	SRX2485040	SAMN06217804	SRS1915320	GSM2453279_r8	GSM2453279	GSM2453279	Mus musculus	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/005/SRR5168125/SRR5168125.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/005/SRR5168125/SRR5168125_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/005/SRR5168125/SRR5168125_2.fastq.gz	2758f0dca8a61e29dc71ad95f1888dd6;61211282fe27d03bb014d0f2c3985629;76e58086b3c80eb1ea89808e120511be	40544165;748888272;759382628			
SRR5168131	PRJNA360958	SRP096571	SRX2485041	SAMN06217803	SRS1915321	GSM2453280_r6	GSM2453280	GSM2453280	Mus musculus	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/001/SRR5168131/SRR5168131.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/001/SRR5168131/SRR5168131_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/001/SRR5168131/SRR5168131_2.fastq.gz	c9b699a6ef813aa542678fbe96370253;1b49087388124f0b0eae01a7a4046771;cc418347ca3ff973fb9bdca1aa68de5f	37394238;616622963;621161793			
SRR5168132	PRJNA360958	SRP096571	SRX2485041	SAMN06217803	SRS1915321	GSM2453280_r7	GSM2453280	GSM2453280	Mus musculus	Hi-C	PAIRED	ILLUMINA	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/002/SRR5168132/SRR5168132.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/002/SRR5168132/SRR5168132_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR516/002/SRR5168132/SRR5168132_2.fastq.gz	f9e1ac2a3b8714174ab08530df821588;c48d4d1bc702fdfc6c21b9131410c0ed;ac20d9cf330152466f6d8403b406f927	43070096;588933829;602262284			
