run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR9870481	PRJNA557678	SRP216929	SRX6623217	SAMN12400265	SRS5180971	GSM3992920_r1	GSM3992920	GSM3992920	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/001/SRR9870481/SRR9870481.fastq.gz	7c9ea98e484fc702a1296c5ee45d5d94	760019169			
SRR9870482	PRJNA557678	SRP216929	SRX6623218	SAMN12400264	SRS5180973	GSM3992921_r1	GSM3992921	GSM3992921	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870482/SRR9870482.fastq.gz	ce4a70c705619530b56107cb4d728feb	636503910			
SRR9870484	PRJNA557678	SRP216929	SRX6623220	SAMN12400262	SRS5180975	GSM3992923_r1	GSM3992923	GSM3992923	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870484/SRR9870484.fastq.gz	c1e4b96d682b5b49e27c4793b5599f08	795882781			
SRR9870485	PRJNA557678	SRP216929	SRX6623221	SAMN12400261	SRS5180977	GSM3992924_r1	GSM3992924	GSM3992924	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9870485/SRR9870485.fastq.gz	27818c79f6414ad0ff20a892b6f9ade5	844390204			
SRR9870487	PRJNA557678	SRP216929	SRX6623223	SAMN12400259	SRS5180978	GSM3992926_r1	GSM3992926	GSM3992926	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9870487/SRR9870487.fastq.gz	b73e8faf6a0fe700673b4a6426ea8a45	646059464			
SRR9870489	PRJNA557678	SRP216929	SRX6623225	SAMN12400257	SRS5180982	GSM3992928_r1	GSM3992928	GSM3992928	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9870489/SRR9870489.fastq.gz	9c0e475912354d8ac63bf8638ca724fe	773504090			
SRR9870492	PRJNA557678	SRP216929	SRX6623228	SAMN12400254	SRS5180984	GSM3992931_r1	GSM3992931	GSM3992931	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870492/SRR9870492.fastq.gz	5bcf1cc3acf3dcf97857c2929715ab94	629790714			
SRR9870493	PRJNA557678	SRP216929	SRX6623229	SAMN12400253	SRS5180985	GSM3992932_r1	GSM3992932	GSM3992932	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9870493/SRR9870493.fastq.gz	0562ef78d0a1e63571cd4fbd925708c7	658335050			
SRR9870494	PRJNA557678	SRP216929	SRX6623230	SAMN12400252	SRS5180983	GSM3992933_r1	GSM3992933	GSM3992933	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870494/SRR9870494.fastq.gz	2f45c93d1d68a125df302633ba5b7949	808243443			
SRR9870500	PRJNA557678	SRP216929	SRX6623236	SAMN12400246	SRS5180991	GSM3992939_r1	GSM3992939	GSM3992939	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/000/SRR9870500/SRR9870500.fastq.gz	abf4c2c38f6e5b270d349aaa2f643c0a	866846943			
SRR9870501	PRJNA557678	SRP216929	SRX6623237	SAMN12400245	SRS5180992	GSM3992940_r1	GSM3992940	GSM3992940	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/001/SRR9870501/SRR9870501.fastq.gz	4e063aa8a26596033669e4e627f6136e	979740627			
SRR9870502	PRJNA557678	SRP216929	SRX6623238	SAMN12400244	SRS5180993	GSM3992941_r1	GSM3992941	GSM3992941	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870502/SRR9870502.fastq.gz	6b980f5cfb6df60e3c3f47a91627b347	926682915			
SRR9870506	PRJNA557678	SRP216929	SRX6623242	SAMN12400240	SRS5180998	GSM3992945_r1	GSM3992945	GSM3992945	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870506/SRR9870506.fastq.gz	9b8e9c9b906fde9dbfc4bf35c29601e3	922745613			
SRR9870510	PRJNA557678	SRP216929	SRX6623246	SAMN12400296	SRS5181001	GSM3992949_r1	GSM3992949	GSM3992949	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/000/SRR9870510/SRR9870510.fastq.gz	9d3df2adff4b3eed2e064cb7c4f693c2	885623995			
SRR9870512	PRJNA557678	SRP216929	SRX6623248	SAMN12400294	SRS5181002	GSM3992951_r1	GSM3992951	GSM3992951	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870512/SRR9870512.fastq.gz	38b4f61ab4ab418d33107228e3c3babd	1011118433			
SRR9870516	PRJNA557678	SRP216929	SRX6623252	SAMN12400290	SRS5181007	GSM3992955_r1	GSM3992955	GSM3992955	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870516/SRR9870516.fastq.gz	eacdb578be335a17a9d2e86e272e74d9	1040932424			
SRR9870519	PRJNA557678	SRP216929	SRX6623255	SAMN12400287	SRS5181010	GSM3992958_r1	GSM3992958	GSM3992958	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9870519/SRR9870519.fastq.gz	a507ef9e9f375b1b8339867dd80ed46f	881181162			
SRR9870526	PRJNA557678	SRP216929	SRX6623262	SAMN12400280	SRS5181017	GSM3992965_r1	GSM3992965	GSM3992965	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870526/SRR9870526.fastq.gz	773de2c6b1ebfffb6807013a3670874d	11830877			
SRR9870536	PRJNA557678	SRP216929	SRX6623272	SAMN12400271	SRS5181027	GSM3992975_r1	GSM3992975	GSM3992975	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870536/SRR9870536.fastq.gz	71b0ded32d861908227a6446d74a9b3a	14468981			
SRR9870537	PRJNA557678	SRP216929	SRX6623273	SAMN12400270	SRS5181028	GSM3992976_r1	GSM3992976	GSM3992976	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9870537/SRR9870537.fastq.gz	521d72d8cc56d4c0496569fcba63631d	39507902			
SRR9870539	PRJNA557678	SRP216929	SRX6623275	SAMN12400307	SRS5181030	GSM3992978_r1	GSM3992978	GSM3992978	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9870539/SRR9870539.fastq.gz	72a2712b64adbefa139b7c3b52b70b43	19745409			
SRR9870544	PRJNA557678	SRP216929	SRX6623280	SAMN12400301	SRS5181036	GSM3992983_r1	GSM3992983	GSM3992983	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870544/SRR9870544.fastq.gz	c8bc22be00abda40d8308018099b76fa	86026650			
SRR9870547	PRJNA557678	SRP216929	SRX6623283	SAMN12400298	SRS5181038	GSM3992986_r1	GSM3992986	GSM3992986	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9870547/SRR9870547.fastq.gz	cf0bf0be13ad92552154a7c597a83d25	61072048			
SRR12623450	PRJNA557678	SRP216929	SRX9106181	SAMN16099998	SRS7349598	GSM4775352_r1	GSM4775352	GSM4775352	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/050/SRR12623450/SRR12623450.fastq.gz	5063d3e5c2e1994dcc9300d754f28dd9	984873160			
SRR12623451	PRJNA557678	SRP216929	SRX9106182	SAMN16099997	SRS7349599	GSM4775353_r1	GSM4775353	GSM4775353	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/051/SRR12623451/SRR12623451.fastq.gz	4188f52e589a1944619f3e11363a44eb	1023567072			
SRR12623453	PRJNA557678	SRP216929	SRX9106184	SAMN16099995	SRS7349602	GSM4775355_r1	GSM4775355	GSM4775355	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/053/SRR12623453/SRR12623453.fastq.gz	0e9c5f23990830adcc05642682c36785	635896523			
SRR12623455	PRJNA557678	SRP216929	SRX9106186	SAMN16099993	SRS7349603	GSM4775357_r1	GSM4775357	GSM4775357	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/055/SRR12623455/SRR12623455.fastq.gz	e9e4bdbe57af34a1579d6a0ea5b25ff3	645871234			
SRR12623459	PRJNA557678	SRP216929	SRX9106190	SAMN16099989	SRS7349606	GSM4775361_r1	GSM4775361	GSM4775361	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/059/SRR12623459/SRR12623459.fastq.gz	3ca7bedcaaf3ebe3f7453ec577350bb7	623307514			
SRR12623464	PRJNA557678	SRP216929	SRX9106195	SAMN16099984	SRS7349612	GSM4775366_r1	GSM4775366	GSM4775366	Mus musculus	OTHER	PAIRED	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/064/SRR12623464/SRR12623464_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/064/SRR12623464/SRR12623464_2.fastq.gz	2366e734a6e97bb245aa25260bcd0887;5e63772113ed6e5f6178582a9d96ba74	869039137;701377219			
SRR12623465	PRJNA557678	SRP216929	SRX9106196	SAMN16099983	SRS7349611	GSM4775367_r1	GSM4775367	GSM4775367	Mus musculus	OTHER	PAIRED	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/065/SRR12623465/SRR12623465_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/065/SRR12623465/SRR12623465_2.fastq.gz	7cc65198833ae5a6ed5979b42f2ea9da;99ddc8afd13da024c44537c2c9f02c70	887251047;710074007			
SRR12623467	PRJNA557678	SRP216929	SRX9106198	SAMN16099981	SRS7349615	GSM4775369_r1	GSM4775369	GSM4775369	Mus musculus	OTHER	PAIRED	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12623467/SRR12623467_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/067/SRR12623467/SRR12623467_2.fastq.gz	a35e596b8aa874435526b09cb12ba7bf;515ab77f42cee20b15dcfca24310f900	1015515686;832384867			
SRR12623476	PRJNA557678	SRP216929	SRX9106207	SAMN16100010	SRS7349624	GSM4775378_r1	GSM4775378	GSM4775378	Mus musculus	OTHER	SINGLE	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/076/SRR12623476/SRR12623476.fastq.gz	66b556940e25c2518cfb22a2091547ec	8249948			
SRR12623485	PRJNA557678	SRP216929	SRX9106216	SAMN16100001	SRS7349633	GSM4775387_r1	GSM4775387	GSM4775387	Mus musculus	OTHER	SINGLE	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/085/SRR12623485/SRR12623485.fastq.gz	45b258b9f7acaccc053b4f557551c718	4137637			
SRR12623487	PRJNA557678	SRP216929	SRX9106218	SAMN16099999	SRS7349635	GSM4775389_r1	GSM4775389	GSM4775389	Mus musculus	OTHER	SINGLE	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/087/SRR12623487/SRR12623487.fastq.gz	77109b9ff3d9b09788b9e88334bf8fd7	4208892			
SRR9870461	PRJNA557678	SRP216929	SRX6623197	SAMN12400234	SRS5180954	GSM3992900_r1	GSM3992900	GSM3992900	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/001/SRR9870461/SRR9870461.fastq.gz	218d970804f93f6c7ebd61be61ae42d4	888949393			
SRR9870464	PRJNA557678	SRP216929	SRX6623200	SAMN12400231	SRS5180955	GSM3992903_r1	GSM3992903	GSM3992903	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870464/SRR9870464.fastq.gz	7e4f13d2d657d99956025c2388f6ef8c	1045139614			
SRR9870465	PRJNA557678	SRP216929	SRX6623201	SAMN12400230	SRS5180956	GSM3992904_r1	GSM3992904	GSM3992904	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9870465/SRR9870465.fastq.gz	0d5cbd4d7363f02aea52c17cd0c8cd2b	1117973958			
SRR9870466	PRJNA557678	SRP216929	SRX6623202	SAMN12400229	SRS5180957	GSM3992905_r1	GSM3992905	GSM3992905	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870466/SRR9870466.fastq.gz	489939b97217a5358691450d0acab018	635419182			
SRR9870468	PRJNA557678	SRP216929	SRX6623204	SAMN12400227	SRS5180959	GSM3992907_r1	GSM3992907	GSM3992907	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9870468/SRR9870468.fastq.gz	f2e9fa7a80014dd681480c1983afb792	748699861			
SRR9870470	PRJNA557678	SRP216929	SRX6623206	SAMN12400220	SRS5180961	GSM3992909_r1	GSM3992909	GSM3992909	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/000/SRR9870470/SRR9870470.fastq.gz	6b57d07d7ade62082e7b3e70c308a4dc	728818353			
SRR9870473	PRJNA557678	SRP216929	SRX6623209	SAMN12400224	SRS5180965	GSM3992912_r1	GSM3992912	GSM3992912	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9870473/SRR9870473.fastq.gz	ae0a81814bc96e697eb02e0ad3352632	986327306			
SRR9870474	PRJNA557678	SRP216929	SRX6623210	SAMN12400223	SRS5180964	GSM3992913_r1	GSM3992913	GSM3992913	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870474/SRR9870474.fastq.gz	6dc5aad629e92dc495869885a1b7215a	1027566920			
SRR9870478	PRJNA557678	SRP216929	SRX6623214	SAMN12400217	SRS5180969	GSM3992917_r1	GSM3992917	GSM3992917	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9870478/SRR9870478.fastq.gz	6fd63005a3cd6dfbfaf50b0f32b1e436	759097126			
SRR9870479	PRJNA557678	SRP216929	SRX6623215	SAMN12400267	SRS5180970	GSM3992918_r1	GSM3992918	GSM3992918	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9870479/SRR9870479.fastq.gz	a35ccbb2d349aa9ef3582cba8e4e6cae	823825235			
SRR9870480	PRJNA557678	SRP216929	SRX6623216	SAMN12400266	SRS5180972	GSM3992919_r1	GSM3992919	GSM3992919	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/000/SRR9870480/SRR9870480.fastq.gz	6f4c11ecfe58624d09ec0276c95af9ee	695210496			
SRR9870483	PRJNA557678	SRP216929	SRX6623219	SAMN12400263	SRS5180974	GSM3992922_r1	GSM3992922	GSM3992922	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9870483/SRR9870483.fastq.gz	cbf5bbb61cfaae304851f14659f23d66	709225819			
SRR9870488	PRJNA557678	SRP216929	SRX6623224	SAMN12400258	SRS5180979	GSM3992927_r1	GSM3992927	GSM3992927	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9870488/SRR9870488.fastq.gz	3460086f950ea226af1a9a745249b152	705487084			
SRR9870495	PRJNA557678	SRP216929	SRX6623231	SAMN12400251	SRS5180986	GSM3992934_r1	GSM3992934	GSM3992934	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9870495/SRR9870495.fastq.gz	690bfb3d7045f07a6e84ac488140ec7c	881843544			
SRR9870496	PRJNA557678	SRP216929	SRX6623232	SAMN12400250	SRS5180987	GSM3992935_r1	GSM3992935	GSM3992935	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870496/SRR9870496.fastq.gz	34eec3c5d4bf144432c0196d48383047	596532060			
SRR9870498	PRJNA557678	SRP216929	SRX6623234	SAMN12400248	SRS5180990	GSM3992937_r1	GSM3992937	GSM3992937	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9870498/SRR9870498.fastq.gz	6a752f24e8d4b4c28ca8d42848320091	874825241			
SRR9870499	PRJNA557678	SRP216929	SRX6623235	SAMN12400247	SRS5180989	GSM3992938_r1	GSM3992938	GSM3992938	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/009/SRR9870499/SRR9870499.fastq.gz	39da5010589b2c66f0c800ff454ccfc8	888057487			
SRR9870503	PRJNA557678	SRP216929	SRX6623239	SAMN12400243	SRS5180994	GSM3992942_r1	GSM3992942	GSM3992942	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/003/SRR9870503/SRR9870503.fastq.gz	2199e78c58a8636d4a776c576a74ba19	936488003			
SRR9870504	PRJNA557678	SRP216929	SRX6623240	SAMN12400242	SRS5180995	GSM3992943_r1	GSM3992943	GSM3992943	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870504/SRR9870504.fastq.gz	e12ce09f59be5643ff38f93d93b40bfd	951001099			
SRR9870505	PRJNA557678	SRP216929	SRX6623241	SAMN12400241	SRS5180996	GSM3992944_r1	GSM3992944	GSM3992944	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9870505/SRR9870505.fastq.gz	e4bb7c2e11c5ba86915a6afaed549691	1061806989			
SRR9870514	PRJNA557678	SRP216929	SRX6623250	SAMN12400292	SRS5181006	GSM3992953_r1	GSM3992953	GSM3992953	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/004/SRR9870514/SRR9870514.fastq.gz	8981faaad4de94861eb52d9cdb080502	787262417			
SRR9870517	PRJNA557678	SRP216929	SRX6623253	SAMN12400289	SRS5181008	GSM3992956_r1	GSM3992956	GSM3992956	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9870517/SRR9870517.fastq.gz	1ed1f53b3209c69833aaa357a0c9f0e6	902803275			
SRR9870522	PRJNA557678	SRP216929	SRX6623258	SAMN12400284	SRS5181013	GSM3992961_r1	GSM3992961	GSM3992961	Mus musculus	OTHER	PAIRED	ILLUMINA	HiSeq X Ten	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870522/SRR9870522_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870522/SRR9870522_2.fastq.gz	a8fcca596334f390489f4c578598fe31;d701b0fe9a05285ec1651e353476c858	16257196054;19052909684			
SRR9870525	PRJNA557678	SRP216929	SRX6623261	SAMN12400281	SRS5181016	GSM3992964_r1	GSM3992964	GSM3992964	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/005/SRR9870525/SRR9870525.fastq.gz	32e4df2279a2097232c97cdc4340f1ed	16068730			
SRR9870527	PRJNA557678	SRP216929	SRX6623263	SAMN12400279	SRS5181018	GSM3992966_r1	GSM3992966	GSM3992966	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9870527/SRR9870527.fastq.gz	5e6dd671b0295956981b34414ffe7207	12666520			
SRR9870528	PRJNA557678	SRP216929	SRX6623264	SAMN12400278	SRS5181019	GSM3992967_r1	GSM3992967	GSM3992967	Mus musculus	OTHER	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/008/SRR9870528/SRR9870528.fastq.gz	95ae4ad45ef3f02341813f9c4a943df6	15690796			
