run_accession	study_accession	secondary_study_accession	experiment_accession	sample_accession	secondary_sample_accession	run_alias	experiment_alias	sample_alias	scientific_name	library_strategy	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes	submitted_ftp	submitted_md5	submitted_bytes
SRR12623461	PRJNA557678	SRP216929	SRX9106192	SAMN16099987	SRS7349609	GSM4775363_r1	GSM4775363	GSM4775363	Mus musculus	RNA-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/061/SRR12623461/SRR12623461.fastq.gz	39e6f110d197367ea7b4430707009f73	559841135			
SRR12623472	PRJNA557678	SRP216929	SRX9106203	SAMN16100014	SRS7349621	GSM4775374_r1	GSM4775374	GSM4775374	Mus musculus	ATAC-seq	PAIRED	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/072/SRR12623472/SRR12623472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/072/SRR12623472/SRR12623472_2.fastq.gz	929f209cab346588bcc4b27225384ec5;233f52fb92a484d1cdffaf4d4c444f86	1285673902;1238779140			
SRR12623473	PRJNA557678	SRP216929	SRX9106204	SAMN16100013	SRS7349622	GSM4775375_r1	GSM4775375	GSM4775375	Mus musculus	ATAC-seq	PAIRED	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/073/SRR12623473/SRR12623473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/073/SRR12623473/SRR12623473_2.fastq.gz	694d05318fb390125cff9f54239eec20;950cc8f464768735bb5494e51821a871	519906197;529771291			
SRR12623477	PRJNA557678	SRP216929	SRX9106208	SAMN16100009	SRS7349625	GSM4775379_r1	GSM4775379	GSM4775379	Mus musculus	OTHER	SINGLE	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/077/SRR12623477/SRR12623477.fastq.gz	362e69fcba83e7439e6dd80b3263f1c2	8778107			
SRR12623478	PRJNA557678	SRP216929	SRX9106209	SAMN16100008	SRS7349626	GSM4775380_r1	GSM4775380	GSM4775380	Mus musculus	OTHER	SINGLE	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/078/SRR12623478/SRR12623478.fastq.gz	43422e65dcd1b0f456181af4b2008921	8955546			
SRR12623480	PRJNA557678	SRP216929	SRX9106211	SAMN16100006	SRS7349628	GSM4775382_r1	GSM4775382	GSM4775382	Mus musculus	OTHER	SINGLE	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/080/SRR12623480/SRR12623480.fastq.gz	1175d64888faa8a2165c002b69e74383	5695406			
SRR12623482	PRJNA557678	SRP216929	SRX9106213	SAMN16100004	SRS7349630	GSM4775384_r1	GSM4775384	GSM4775384	Mus musculus	OTHER	SINGLE	ILLUMINA	NextSeq 550	ftp.sra.ebi.ac.uk/vol1/fastq/SRR126/082/SRR12623482/SRR12623482.fastq.gz	ff9de33cdeb6d72cd0e5925155763d48	3497440			
SRR9870467	PRJNA557678	SRP216929	SRX6623203	SAMN12400228	SRS5180958	GSM3992906_r1	GSM3992906	GSM3992906	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/007/SRR9870467/SRR9870467.fastq.gz	8676fa4ffbba25d51db547247e396b6c	686756959			
SRR9870472	PRJNA557678	SRP216929	SRX6623208	SAMN12400225	SRS5180963	GSM3992911_r1	GSM3992911	GSM3992911	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/002/SRR9870472/SRR9870472.fastq.gz	01c7afa3d24db230430073cd94ddc2b6	1191840538			
SRR9870476	PRJNA557678	SRP216929	SRX6623212	SAMN12400221	SRS5180967	GSM3992915_r1	GSM3992915	GSM3992915	Mus musculus	ChIP-Seq	SINGLE	ILLUMINA	Illumina HiSeq 2500	ftp.sra.ebi.ac.uk/vol1/fastq/SRR987/006/SRR9870476/SRR9870476.fastq.gz	571b15700fb244aace53ba25a8a1baa2	831122394			
